Recommended Diet,Calories (kcal),Protein (g),Carbs (g),Fat (g),Health Benefits,Suitable Age Group,Meal Type,BMI,BMI Category
"Chicken, original seasoning, rotisserie, cooked, meat only, wing, broilers or fryers",197,41,12,10,General nutrition,Children,Dinner,18.5,Underweight
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, small end (ribs 10-12), rib",148,46,0,18,General nutrition,Old age,Other,18.5,Underweight
"Vitasoy USA, Vitasoy Light Vanilla Soymilk",30,34,95,7,General nutrition,Old age,Other,18.5,Underweight
"Oil, canola (partially hydrogenated) oil for deep fat frying, industrial",884,41,23,3,General nutrition,Old age,Other,30.0,Obesity
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, steak, tip center, knuckle, round",150,9,3,7,General nutrition,Children,Dinner,18.5,Underweight
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, chuck eye Country-Style ribs",146,46,98,13,General nutrition,Adults,Other,18.5,Underweight
"Shortening cake mix, soybean (hydrogenated) and cottonseed (hydrogenated)",884,13,54,12,General nutrition,Adults,Other,30.0,Obesity
"Turkey, roasted, cooked, skin only, young hen",482,39,39,4,General nutrition,Children,Other,27.45,Overweight
"Cereals ready-to-eat, LUCKY CHARMS, GENERAL MILLS",380,42,75,8,"Sustained energy, Digestive health, Blood sugar control",Old age,Breakfast,21.7,Normal weight
"Soup, prepared with equal volume water, canned, cream of shrimp",36,9,4,27,General nutrition,All ages,Lunch,18.5,Underweight
"Fast foods, with cheese and sausage, english muffin",338,11,65,18,General nutrition,Children,Other,21.7,Normal weight
"Oil, sheanut",884,43,20,5,General nutrition,All ages,Other,30.0,Obesity
"Game meat, pan-broiled, cooked, ground, bison",238,20,27,14,General nutrition,Old age,Dinner,21.7,Normal weight
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, ribeye cap steak",246,1,97,4,General nutrition,Adults,Dinner,21.7,Normal weight
"Snacks, original flavor, Multigrain Snack, SUNCHIPS, FRITOLAY",491,44,22,26,General nutrition,Adults,Snack,27.45,Overweight
"Babyfood, junior, lamb, meat",112,29,59,28,General nutrition,Adults,Dinner,18.5,Underweight
"Puddings, regular, dry mix, banana",366,48,78,10,General nutrition,Old age,Other,21.7,Normal weight
"Peppers, sauteed, green, sweet",127,1,86,23,General nutrition,Old age,Other,18.5,Underweight
"CAMPBELL'S CHUNKY Soups, HEALTHY REQUEST New England Clam Chowder",53,15,11,16,General nutrition,All ages,Lunch,18.5,Underweight
"McDONALD'S, BIG BREAKFAST",285,32,22,2,General nutrition,All ages,Breakfast,21.7,Normal weight
"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean and fat, clod roast, chuck",216,17,26,22,General nutrition,All ages,Other,21.7,Normal weight
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, chuck eye steak",153,28,61,7,General nutrition,Adults,Dinner,18.5,Underweight
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, shoulder pot roast or steak",123,15,36,7,General nutrition,Adults,Dinner,18.5,Underweight
"DENNY'S, coleslaw",183,32,62,29,General nutrition,Old age,Other,18.5,Underweight
"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, top loin steak, loin",208,46,31,28,General nutrition,Adults,Dinner,21.7,Normal weight
"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, boneless, top loin petite roast/filet",170,26,20,29,General nutrition,Old age,Other,18.5,Underweight
"Soy protein concentrate, produced by alcohol extraction",328,30,79,23,General nutrition,Children,Other,21.7,Normal weight
"MOTHER'S, Holiday Circus Animal Cookies",515,39,37,21,General nutrition,Adults,Other,27.45,Overweight
"CAMPBELL'S Red and White, condensed, Minestrone Soup",71,42,48,29,General nutrition,Children,Lunch,18.5,Underweight
"Game meat, raw, deer",120,35,17,29,General nutrition,Adults,Dinner,18.5,Underweight
"Pork, pan-broil, heated, separable lean and fat, bone-in, slice, ham with natural juices, cured",180,4,6,20,General nutrition,All ages,Other,18.5,Underweight
"Crackers, sandwich-type with cheese filling, cheese",490,45,62,8,General nutrition,Adults,Lunch,27.45,Overweight
"Fast foods, mashed, potato",89,19,70,3,General nutrition,All ages,Other,18.5,Underweight
"Beef, braised, cooked, separable lean and fat, oyster blade, imported, New Zealand",197,30,25,6,General nutrition,Children,Other,18.5,Underweight
"VAN'S, Totally Original Pancakes, Gluten Free",215,29,29,2,General nutrition,Old age,Breakfast,21.7,Normal weight
"Candies, chocolate-flavor roll, caramels",387,4,56,15,General nutrition,Old age,Other,21.7,Normal weight
"Salad dressing, low calorie, mayonnaise and mayonnaise-type",263,39,43,24,General nutrition,All ages,Lunch,21.7,Normal weight
"Beef, braised, cooked, select, trimmed to 1/8"" fat, separable lean and fat, steak, bottom round, round",240,10,35,15,General nutrition,Old age,Dinner,21.7,Normal weight
"Seeds, low fat (glandless), cottonseed flour",332,29,92,22,"Heart health, Weight management, Brain function",Children,Other,21.7,Normal weight
"Oil, avocado",884,10,72,13,General nutrition,All ages,Other,30.0,Obesity
"Mushrooms, drained solids, canned, straw",32,46,97,7,General nutrition,Adults,Other,18.5,Underweight
"Lamb, soaked and simmered, cooked, sweetbread, imported, New Zealand",144,8,87,25,General nutrition,All ages,Other,18.5,Underweight
"Beef, braised, cooked, separable lean and fat, brisket navel end, imported, New Zealand",453,36,2,9,General nutrition,Children,Other,27.45,Overweight
"Puff pastry, ready-to-bake, frozen",551,38,12,7,General nutrition,Adults,Other,27.45,Overweight
"Pork, roasted, canned, regular (approximately 13% fat), ham, cured",226,22,40,25,General nutrition,Old age,Other,21.7,Normal weight
"Cereals, without salt, cooked with water, enriched, regular and quick, yellow, corn grits",65,28,20,5,"Sustained energy, Digestive health, Blood sugar control",Children,Breakfast,18.5,Underweight
"Soup, prepared with equal volume water, canned, cream of mushroom",39,25,38,17,General nutrition,Adults,Lunch,18.5,Underweight
"Infant formula, powder, with iron, GOOD START 2 ESSENTIALS, NESTLE",471,12,67,25,General nutrition,Old age,Other,27.45,Overweight
"KASHI Pesto Pasta Primavera, unprepared, frozen",101,29,21,19,General nutrition,Adults,Dinner,18.5,Underweight
"Veal, raw, separable lean and fat, whole (arm and blade), shoulder",130,37,14,4,General nutrition,Adults,Other,18.5,Underweight
"SUNSHINE, Hot & Spicy Crackers, CHEEZ-IT",513,3,56,14,General nutrition,Adults,Other,27.45,Overweight
"Lamb, broiled, cooked, choice, trimmed to 1/4"" fat, separable lean only, blade, shoulder, domestic",211,41,59,22,General nutrition,All ages,Other,21.7,Normal weight
"Lamb, raw, trimmed to 1/8"" fat, separable lean only, foreshank, fresh, imported, Australian",123,31,45,7,General nutrition,All ages,Other,18.5,Underweight
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, outside skirt, boneless, plate steak",300,13,65,27,General nutrition,Children,Dinner,21.7,Normal weight
"Luxury loaf, pork",141,13,49,20,General nutrition,All ages,Other,18.5,Underweight
"Beef, broiled, cooked, choice, trimmed to 0"" fat, separable lean only, mock tender steak, chuck",161,15,75,6,General nutrition,Old age,Dinner,18.5,Underweight
"Cheese food, American, cold pack",331,18,75,6,General nutrition,All ages,Other,21.7,Normal weight
"Lamb, raw, choice, trimmed to 1/8"" fat, separable lean and fat, shank half, leg, domestic",185,44,74,5,General nutrition,All ages,Other,18.5,Underweight
"Margarine-like, with salt, tub, reduced calorie, vegetable oil-butter spread",450,37,65,25,General nutrition,Children,Other,27.45,Overweight
"Lamb, raw, tongue, variety meats and by-products",222,15,96,21,General nutrition,Adults,Dinner,21.7,Normal weight
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, eye of round roast, round",167,39,96,24,General nutrition,All ages,Other,18.5,Underweight
"Egg, pasteurized, frozen, raw, yolk",296,40,57,15,General nutrition,Adults,Breakfast,21.7,Normal weight
"Beef, raw, 75% lean meat / 25% fat, ground",293,14,58,26,General nutrition,Adults,Dinner,21.7,Normal weight
"Cereals ready-to-eat, Honey BUZZERS, MALT-O-MEAL",379,48,44,24,"Sustained energy, Digestive health, Blood sugar control",Old age,Breakfast,21.7,Normal weight
"Nuts, dried, beechnuts",576,19,67,10,"Heart health, Weight management, Brain function",Old age,Snack,27.45,Overweight
"Pork, unheated, separable lean and fat, bone-in, rump, ham with natural juices, cured",200,21,94,14,General nutrition,All ages,Other,21.7,Normal weight
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, boneless, short ribs, chuck",227,38,14,13,General nutrition,Adults,Other,21.7,Normal weight
"Fish, dry heat, cooked, mahimahi",109,15,85,13,"Brain development, Joint health, Mood improvement",All ages,Dinner,18.5,Underweight
"Nuts, sweetened, canned, coconut cream",357,4,8,11,"Heart health, Weight management, Brain function",All ages,Snack,21.7,Normal weight
"Pork, raw, separable lean and fat, boneless, Shoulder breast",127,40,37,20,General nutrition,Adults,Other,18.5,Underweight
"Seeds, without salt, roasted, pumpkin and squash seed kernels",574,20,43,23,"Heart health, Weight management, Brain function",All ages,Other,27.45,Overweight
"Cereals ready-to-eat, KELLOGG'S APPLE JACKS with marshmallows",378,18,98,27,"Sustained energy, Digestive health, Blood sugar control",Old age,Breakfast,21.7,Normal weight
"Pie, prepared from recipe, banana cream",269,22,73,24,General nutrition,Old age,Other,21.7,Normal weight
"McDONALD'S, Premium Crispy Chicken Club Sandwich",250,20,64,6,General nutrition,All ages,Lunch,21.7,Normal weight
"KASHI Italian Vegetable Medley Pasta, unprepared, frozen",106,2,96,14,"Cancer prevention, Eye health, Bone strength",Old age,Dinner,18.5,Underweight
Kontomire Stew with Boiled Yam,360,8,65,10,High fiber,rich in iron and vitamins,Other,21.7,Normal weight
"Fast Foods, with lettuce and mayonnaise, crispy chicken filet sandwich",276,8,18,6,General nutrition,Children,Lunch,21.7,Normal weight
"Turkey, roasted, cooked, with added solution, meat only, dark meat",158,39,68,26,General nutrition,Children,Dinner,18.5,Underweight
"Pork, roasted, cooked, separable lean and fat, bone-in, center loin (roasts), loin, fresh",231,4,81,5,General nutrition,Children,Other,21.7,Normal weight
"Frankfurter, meatless",233,22,34,8,General nutrition,All ages,Dinner,21.7,Normal weight
"Creamy dressing, fat-free, reduced calorie, made with sour cream and/or buttermilk and oil",107,5,1,10,General nutrition,Adults,Other,18.5,Underweight
"POPEYES, analyzed 2006, Spicy Chicken Strips",253,33,43,26,General nutrition,Children,Dinner,21.7,Normal weight
"Beef, raw, Aust. marble score 4/5, seam fat, Wagyu, imported, Australian",594,34,88,8,General nutrition,Adults,Other,27.45,Overweight
"Fish, smoked (Alaska Native), canned, (sockeye), red, salmon",206,40,83,23,"Brain development, Joint health, Mood improvement",Old age,Dinner,21.7,Normal weight
"Frostings, ready-to-eat, creamy, vanilla",418,16,32,25,General nutrition,All ages,Other,27.45,Overweight
"KASHI, Fire Roasted Vegetable Crackers, TLC",389,22,82,5,"Cancer prevention, Eye health, Bone strength",Old age,Other,21.7,Normal weight
"Cookies, reduced fat, vanilla sandwich with creme filling",423,49,68,17,General nutrition,Children,Lunch,27.45,Overweight
"Light Ice Cream, blended with cookie pieces, soft serve",169,22,43,13,General nutrition,All ages,Other,18.5,Underweight
"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, under blade steak, chuck",222,0,58,15,General nutrition,Children,Dinner,21.7,Normal weight
Wakye with Spaghetti,380,14,60,12,High protein,rich in vitamins,Other,21.7,Normal weight
"Infant Formula, powder, GENTLEASE, ENFAMIL, MEAD JOHNSON",514,47,23,10,General nutrition,Children,Other,27.45,Overweight
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, lip off, boneless, rib eye steak",215,14,68,26,General nutrition,Old age,Dinner,21.7,Normal weight
"Beef, broiled, cooked, choice, trimmed to 0"" fat, separable lean only, top blade, chuck",217,35,10,26,General nutrition,All ages,Other,21.7,Normal weight
"Milk, with added nonfat milk solids and vitamin A and vitamin D, 2% milkfat, fluid, reduced fat",51,26,98,13,General nutrition,All ages,Other,18.5,Underweight
"Pomegranates, raw",83,27,58,27,General nutrition,Adults,Other,18.5,Underweight
"Turkey, roasted, cooked, meat only, wing, retail parts",170,22,51,27,General nutrition,All ages,Dinner,18.5,Underweight
"Crackers, multi-seeded and multigrain, gluten-free",453,10,63,0,General nutrition,All ages,Other,27.45,Overweight
"PIZZA HUT 14"" Pepperoni Pizza, Pan Crust",291,20,30,5,General nutrition,All ages,Other,21.7,Normal weight
"SMART SOUP, Vietnamese Carrot Lemongrass",44,16,82,1,General nutrition,Children,Lunch,18.5,Underweight
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, clod roast, chuck",172,22,45,0,General nutrition,Adults,Other,18.5,Underweight
"Pate, canned, not specified, liver",319,29,48,19,General nutrition,Adults,Other,21.7,Normal weight
Fante Fante with Eba,390,10,60,15,High in carbs,moderate protein,Other,21.7,Normal weight
"Lamb, grilled, cooked, trimmed to 0"" fat, separable lean only, bone-in, denuded, frenched, rib chop, fresh, imported, Australian",236,11,23,23,General nutrition,Children,Other,21.7,Normal weight
"Babyfood, junior, meat sticks, meat",184,15,43,3,General nutrition,Adults,Dinner,18.5,Underweight
"Pork, roasted, separable lean only, arm picnic, shoulder, cured",170,30,32,13,General nutrition,Children,Other,18.5,Underweight
"Winged beans, without salt, drained, boiled, cooked, immature seeds",38,4,63,20,General nutrition,Children,Other,18.5,Underweight
"Chorizo, pork and beef",455,47,66,24,General nutrition,Old age,Other,27.45,Overweight
"Succotash, with cream style corn, canned, (corn and limas)",77,43,57,18,General nutrition,Adults,Other,18.5,Underweight
"Snacks, peanut, SWEET&SALTY NUT, GENERAL MILLS NATURE VALLEY, granola bar",487,27,36,6,General nutrition,Adults,Snack,27.45,Overweight
"Turnover, frozen, reduced fat, and vegetable-filled, chicken- or turkey-",168,24,96,5,General nutrition,Old age,Dinner,18.5,Underweight
"Kefir, LIFEWAY, strawberry, lowfat",62,7,56,20,General nutrition,Adults,Other,18.5,Underweight
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, steak, tip side, knuckle, round",168,11,20,14,General nutrition,Children,Dinner,18.5,Underweight
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, steak, tenderloin",158,44,84,5,General nutrition,Old age,Dinner,18.5,Underweight
"Beef, raw, separable lean only, tenderloin, imported, New Zealand",140,32,40,7,General nutrition,Old age,Other,18.5,Underweight
"Pasta, enriched, dry",371,27,94,8,General nutrition,All ages,Dinner,21.7,Normal weight
"Muffins, dry mix, wheat bran",396,33,32,28,General nutrition,Old age,Other,21.7,Normal weight
"Cereals ready-to-eat, KELLOGG'S CRACKLIN' OAT BRAN, KELLOGG",395,39,13,7,"Sustained energy, Digestive health, Blood sugar control",Adults,Breakfast,21.7,Normal weight
"Chicken, stewed, cooked, meat only, thigh, broilers or fryers",195,10,10,25,General nutrition,All ages,Dinner,18.5,Underweight
"Beef, raw, spleen, variety meats and by-products",105,15,30,29,General nutrition,Adults,Dinner,18.5,Underweight
"MORNINGSTAR FARMS Spicy Black Bean Enchilada Entree, unprepared, frozen",123,42,59,28,General nutrition,Children,Other,18.5,Underweight
"Focaccia, plain, Italian flatbread",249,15,43,12,General nutrition,Adults,Other,21.7,Normal weight
"Veal, raw, pancreas, variety meats and by-products",182,17,75,7,General nutrition,All ages,Dinner,18.5,Underweight
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, inside skirt, boneless, plate steak",242,12,0,22,General nutrition,Adults,Dinner,21.7,Normal weight
"Soup, canned, HEALTHY CHOICE Chicken and Rice Soup",37,41,48,23,General nutrition,Children,Lunch,18.5,Underweight
"Snacks, mixed flavors, crunchy, KASHI TLC Bar, granola bar",446,8,15,7,General nutrition,Children,Snack,27.45,Overweight
"Veal, roasted, cooked, separable lean only, sirloin",168,48,82,28,General nutrition,Adults,Other,18.5,Underweight
"Frankfurter, pork",269,30,18,27,General nutrition,Adults,Other,21.7,Normal weight
"Beef, pan-fried, cooked, brain, variety meats and by-products",196,18,25,7,General nutrition,Old age,Dinner,18.5,Underweight
"KEEBLER, Cinnamon Toast Grahams",429,39,30,23,General nutrition,Adults,Breakfast,27.45,Overweight
"Beverages, with chicory, instant, coffee",355,41,65,27,General nutrition,Adults,Other,21.7,Normal weight
"Fat, goose",900,32,82,27,General nutrition,Children,Other,30.0,Obesity
"Gravy, dry, brown",367,49,91,3,General nutrition,Adults,Other,21.7,Normal weight
"Pie, prepared from recipe, blueberry",245,37,63,3,General nutrition,All ages,Other,21.7,Normal weight
"Succotash, without salt, drained, boiled, cooked, (corn and limas)",115,31,61,4,General nutrition,Old age,Other,18.5,Underweight
"SUPPER BAKES MEAL KITS, Cheesy Chicken with pasta (chicken not included)",198,36,1,4,General nutrition,All ages,Dinner,18.5,Underweight
"HEALTHY REQUEST, condensed, Tomato Soup",73,7,61,24,General nutrition,Old age,Lunch,18.5,Underweight
"Rennin, prepared with 2% milk, dry mix, chocolate",85,29,28,22,General nutrition,All ages,Other,18.5,Underweight
"Frankfurter, turkey",223,36,63,14,General nutrition,Old age,Other,21.7,Normal weight
"Beef, raw, liver, variety meats and by-products, imported, New Zealand",133,37,23,5,General nutrition,Old age,Dinner,18.5,Underweight
"Margarine, sauces and candy, use for baking, soy and partially hydrogenated soy oil, industrial",714,22,1,6,General nutrition,Children,Other,30.0,Obesity
"Danish pastry, unenriched (includes apple, cinnamon, raisin, strawberry), fruit",371,22,16,10,General nutrition,All ages,Snack,21.7,Normal weight
"Margarine-like, with added vitamin D, with salt, unspecified oils, approximately 37% fat, vegetable oil spread",339,42,1,9,General nutrition,Adults,Other,21.7,Normal weight
"CAMPBELL'S, condensed, Cream of Chicken Soup",103,12,36,14,General nutrition,All ages,Lunch,18.5,Underweight
"Pork, pan-broiled, cooked, 96% lean / 4% fat, ground",185,5,34,18,General nutrition,Children,Other,18.5,Underweight
"Salad dressing, reduced calorie, honey mustard dressing",207,10,61,11,General nutrition,Old age,Lunch,21.7,Normal weight
"Fast foods, coleslaw",153,47,99,12,General nutrition,All ages,Other,18.5,Underweight
"Soup, prepared with equal volume water, canned, tomato rice",47,21,1,18,General nutrition,Children,Lunch,18.5,Underweight
"Oil, woks and light frying, principal uses salads, canola with antifoaming agent, industrial",884,9,17,11,General nutrition,Children,Lunch,30.0,Obesity
"Beef, pan-broiled, cooked, patty, 95% lean meat / 5% fat, ground",164,39,0,24,General nutrition,Children,Dinner,18.5,Underweight
"Tofu, prepared with calcium sulfate, salted and fermented (fuyu)",116,21,45,5,General nutrition,Adults,Other,18.5,Underweight
"Babyfood, junior, macaroni and tomato and beef, dinner",59,5,81,2,General nutrition,Adults,Dinner,18.5,Underweight
"Soup, prepared with water, mix, dry, cream of chicken",41,21,8,0,General nutrition,Adults,Lunch,18.5,Underweight
"Fish, moist heat, cooked, wild, coho, salmon",184,4,72,5,"Brain development, Joint health, Mood improvement",All ages,Dinner,18.5,Underweight
"KEEBLER, Chocolate Chip Cookies, CHIPS DELUXE, 100 Calorie RIGHT BITES",452,13,62,13,General nutrition,Adults,Snack,27.45,Overweight
"Sweet potato, with salt, flesh, baked in skin, cooked",92,45,15,20,General nutrition,Children,Other,18.5,Underweight
"Soup, prepared with equal volume low fat (2%) milk, canned, cream of shrimp",61,33,94,6,General nutrition,Adults,Lunch,18.5,Underweight
"Chicken, raw, meat only, light meat, roasting",109,27,3,29,General nutrition,Children,Dinner,18.5,Underweight
"KELLOGG'S, Cheddar, Cracker Chips, SPECIAL K",382,11,14,22,General nutrition,Old age,Snack,21.7,Normal weight
"Potatoes, whole milk added, home-prepared, mashed",83,30,50,6,General nutrition,Children,Other,18.5,Underweight
"Cookies, vanilla sandwich with creme filling",483,22,9,27,General nutrition,Children,Lunch,27.45,Overweight
"Olive loaf, pork",235,29,51,4,General nutrition,Children,Other,21.7,Normal weight
"Potatoes, as purchased, frozen, salt not added in processing, all types, french fried",150,18,29,10,General nutrition,Adults,Other,18.5,Underweight
"Restaurant, breaded and fried, shrimp, family style",308,36,95,13,General nutrition,Children,Other,21.7,Normal weight
"Nuts, without salt added, oil roasted, cashew nuts",580,37,3,29,"Heart health, Weight management, Brain function",Adults,Snack,27.45,Overweight
"Salad dressing, assorted flavors, spray-style dressing",165,48,18,21,General nutrition,Old age,Lunch,18.5,Underweight
"ON THE BORDER, Mexican rice",195,37,47,6,General nutrition,Children,Other,18.5,Underweight
"Soup, prepared with equal volume milk, canned, oyster stew",55,1,97,5,General nutrition,Old age,Lunch,18.5,Underweight
"Pork, pan-fried, cooked, separable lean and fat, bone-in, blade (chops), loin, fresh",256,15,68,21,General nutrition,Adults,Other,21.7,Normal weight
"Turkey, roasted, with added solution, meat only, whole",140,28,53,18,General nutrition,All ages,Dinner,18.5,Underweight
"Nuts, frozen (liquid expressed from grated meat and water), coconut milk",202,40,83,14,"Heart health, Weight management, Brain function",Children,Dinner,21.7,Normal weight
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, boneless, shoulder steak",169,4,29,19,General nutrition,Old age,Dinner,18.5,Underweight
"Turkey, raw, with added solution, meat and skin, breast, retail parts",144,11,18,3,General nutrition,Old age,Dinner,18.5,Underweight
"Candies, M&M's Almond Chocolate Candies, MARS SNACKFOOD US",522,33,41,4,General nutrition,All ages,Snack,27.45,Overweight
"Fish, raw, farmed, Atlantic, salmon",208,13,11,22,"Brain development, Joint health, Mood improvement",Old age,Dinner,21.7,Normal weight
Beans Stew with Fried Plantain,400,12,60,15,High in fiber,rich in vitamins,Other,27.45,Overweight
"Milk, dried, buttermilk",387,41,40,15,General nutrition,Adults,Other,21.7,Normal weight
"Beef, raw, separable lean only, boneless, top loin steak/roast, loin, grass-fed, imported, Australian",131,16,3,17,General nutrition,Children,Dinner,18.5,Underweight
"Snacks, TERRA CHIPS, HAIN CELESTIAL GROUP, vegetable chips",517,13,25,29,General nutrition,Old age,Snack,27.45,Overweight
Dawadawa Jollof,350,8,55,10,High in carbs,rich in protein,Other,21.7,Normal weight
"Turkey, raw, meat only, wing, retail parts",112,40,29,27,General nutrition,Old age,Dinner,18.5,Underweight
"Bread, cracked-wheat",260,23,53,21,General nutrition,Old age,Other,21.7,Normal weight
"Ostrich, cooked, oyster",159,27,37,21,General nutrition,Old age,Other,18.5,Underweight
