name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
"Guinea hen, raw, meat and skin",100 g,158,6.5g,1.8g,74mg,67.00 mg,0,5.00 mcg,0.00 mcg,7.667 mg,0.879 mg,0.102 mg,0.059 mg,92.00 IU,28.00 mcg,0,0,0,0,0,0.34 mcg,0.380 mg,1.3 mg,0,0,0,0,11.00 mg,0.043 mg,0.84 mg,22.00 mg,0.018 mg,153.00 mg,193.00 mg,16.3 mcg,1.13 mg,23.40 g,1.378 g,1.476 g,2.087 g,0.314 g,3.407 g,1.572 g,0.681 g,0,1.156 g,1.693 g,1.891 g,0.618 g,0.906 g,1.162 g,0.829 g,0.963 g,0.259 g,0.748 g,1.132 g,0.00 g,0.0 g,0,0,0,0,0,0,0,6.45 g,1.770 g,2.430 g,1.410 g,74.00 mg,0.0 g,1.25 g,0,0,68.90 g
"Peppers, sauteed, green, sweet",100 g,127,12g,1.6g,0,17.00 mg,4.8 mg,2.00 mcg,0,0.582 mg,0.111 mg,0.048 mg,0.042 mg,273.00 IU,14.00 mcg,42.00 mcg,135.00 mcg,17.00 mcg,0,0,0.00 mcg,0.196 mg,177.0 mg,0.00 IU,1.40 mg,1.40 mg,21.3 mcg,8.00 mg,0.017 mg,0.30 mg,8.00 mg,0.062 mg,15.00 mg,134.00 mg,0.6 mcg,0.06 mg,0.78 g,0.033 g,0.024 g,0.189 g,0.011 g,0.176 g,0.027 g,0.009 g,0,0.022 g,0.033 g,0.036 g,0.007 g,0.084 g,0.022 g,0.049 g,0.033 g,0.011 g,0.011 g,0.033 g,4.22 g,1.8 g,2.17 g,1.08 g,0.00 g,1.09 g,0.00 g,0.00 g,0.00 g,11.85 g,1.590 g,2.337 g,5.900 g,0.00 mg,0,0.50 g,0,0,82.65 g
"Bread, unenriched, white, pita",100 g,275,1.2g,0.2g,0,536.00 mg,0,24.00 mcg,0.00 mcg,2.142 mg,0.397 mg,0.097 mg,0.267 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.034 mg,0.0 mg,0,0,0,0,86.00 mg,0.168 mg,1.40 mg,26.00 mg,0.481 mg,97.00 mg,120.00 mg,0,0.84 mg,9.10 g,0.302 g,0.329 g,0.408 g,0.197 g,3.033 g,0.319 g,0.195 g,0,0.349 g,0.634 g,0.219 g,0.160 g,0.446 g,1.012 g,0.438 g,0.257 g,0.105 g,0.257 g,0.394 g,55.70 g,2.2 g,0,0,0,0,0,0,0,1.20 g,0.166 g,0.105 g,0.535 g,0.00 mg,0,1.90 g,0,0,32.10 g
"Corn flour, white, whole-grain",100 g,361,3.9g,0.5g,0,5.00 mg,21.6 mg,25.00 mcg,0.00 mcg,1.900 mg,0.658 mg,0.080 mg,0.246 mg,3.00 IU,0.00 mcg,0.00 mcg,1.00 mcg,1.00 mcg,5.00 mcg,0,0.00 mcg,0.370 mg,0.0 mg,0.00 IU,0.42 mg,0.42 mg,0.3 mcg,7.00 mg,0.230 mg,2.38 mg,93.00 mg,0.460 mg,272.00 mg,315.00 mg,15.4 mcg,1.73 mg,6.93 g,0.518 g,0.345 g,0.482 g,0.125 g,1.300 g,0.284 g,0.211 g,0,0.248 g,0.850 g,0.195 g,0.145 g,0.340 g,0.605 g,0.329 g,0.261 g,0.049 g,0.282 g,0.351 g,76.85 g,7.3 g,0.64 g,0,0,0,0,0,0,3.86 g,0.543 g,1.018 g,1.759 g,0.00 mg,0.0 g,1.45 g,0.00 mg,0.00 mg,10.91 g
"Bologna, pork, turkey, chicken",100 g,298,26g,8g,80mg,922.00 mg,53.3 mg,9.00 mcg,0.00 mcg,3.320 mg,0.696 mg,0.132 mg,0.042 mg,75.00 IU,13.00 mcg,11.00 mcg,11.00 mcg,11.00 mcg,0.00 mcg,0,0.79 mcg,0.180 mg,19.7 mg,0,0.41 mg,0.41 mg,0.0 mcg,82.00 mg,0.060 mg,1.16 mg,15.00 mg,0.044 mg,185.00 mg,152.00 mg,0.0 mcg,1.28 mg,9.88 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65 g,0.0 g,0.00 g,0,0,0,0,0,0,26.18 g,7.990 g,10.555 g,4.672 g,80.00 mg,0.0 g,3.03 g,0.00 mg,0.00 mg,55.25 g
"Rice, raw, medium-grain, brown",100 g,362,2.7g,0.5g,0,4.00 mg,0,20.00 mcg,0.00 mcg,4.308 mg,1.493 mg,0.043 mg,0.413 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.509 mg,0.0 mg,0.00 IU,0,0,0,33.00 mg,0.277 mg,1.80 mg,143.00 mg,3.743 mg,264.00 mg,268.00 mg,0,2.02 mg,7.50 g,0.437 g,0.569 g,0.702 g,0.091 g,1.528 g,0.369 g,0.190 g,0,0.318 g,0.620 g,0.286 g,0.169 g,0.387 g,0.352 g,0.388 g,0.275 g,0.096 g,0.281 g,0.440 g,76.17 g,3.4 g,0,0,0,0,0,0,0,2.68 g,0.536 g,0.971 g,0.959 g,0.00 mg,0.0 g,1.27 g,0,0,12.37 g
"Cocoa, unsweetened, dry powder",100 g,228,14g,8.1g,0,21.00 mg,12.0 mg,32.00 mcg,0.00 mcg,2.185 mg,0.254 mg,0.241 mg,0.078 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,38.00 mcg,0,0.00 mcg,0.118 mg,0.0 mg,0.00 IU,0.10 mg,0.10 mg,2.5 mcg,128.00 mg,3.788 mg,13.86 mg,499.00 mg,3.837 mg,734.00 mg,1524.00 mg,14.3 mcg,6.81 mg,19.60 g,0.904 g,1.111 g,1.953 g,0.239 g,2.948 g,0.879 g,0.339 g,0,0.760 g,1.189 g,0.983 g,0.202 g,0.941 g,0.838 g,0.846 g,0.776 g,0.293 g,0.735 g,1.177 g,57.90 g,37.0 g,1.75 g,0,0,0,0,0,0,13.70 g,8.070 g,4.570 g,0.440 g,0.00 mg,0.0 g,5.80 g,230.00 mg,2057.00 mg,3.00 g
"McDONALD'S, Hot Caramel Sundae",100 g,188,4.9g,2.5g,16mg,80.00 mg,0,2.00 mcg,0,0.114 mg,0.681 mg,0.223 mg,0.037 mg,307.00 IU,92.00 mcg,0,0,0,0,0,0.51 mcg,0.049 mg,0,0,0.01 mg,0.01 mg,0,127.00 mg,0.015 mg,0.08 mg,12.00 mg,0.009 mg,112.00 mg,186.00 mg,0,0.45 mg,3.58 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.36 g,0.0 g,23.54 g,0.78 g,0.00 g,3.00 g,5.46 g,1.64 g,12.67 g,4.89 g,2.468 g,1.210 g,0.232 g,16.00 mg,0,0.90 g,0,0,57.27 g
"BURGER KING, Hash Brown Rounds",100 g,302,19g,3.3g,0,568.00 mg,0,13.00 mcg,0,1.980 mg,0.455 mg,0.053 mg,0.163 mg,2.00 IU,0.00 mcg,1.00 mcg,1.00 mcg,0.00 mcg,21.00 mcg,0,0,0.187 mg,4.3 mg,0,4.40 mg,4.40 mg,0,15.00 mg,0.127 mg,0.71 mg,20.00 mg,0.176 mg,95.00 mg,364.00 mg,0.4 mcg,0.37 mg,2.80 g,0.107 g,0.134 g,0.502 g,0.041 g,0.379 g,0.095 g,0.049 g,0,0.100 g,0.178 g,0.173 g,0.036 g,0.124 g,0.105 g,0.122 g,0.119 g,0.034 g,0.090 g,0.139 g,29.37 g,2.3 g,0.63 g,0.28 g,0.00 g,0.35 g,0.00 g,0.00 g,0.00 g,19.30 g,3.285 g,5.466 g,8.984 g,0.00 mg,0,2.19 g,0,0,46.34 g
"Candies, 100 GRAND Bar, NESTLE",100 g,468,19g,12g,12mg,203.00 mg,24.6 mg,5.00 mcg,0.00 mcg,0.198 mg,0.182 mg,0.119 mg,0.058 mg,127.00 IU,38.00 mcg,0.00 mcg,3.00 mcg,0.00 mcg,2.00 mcg,0,0.29 mcg,0.016 mg,0.7 mg,0.00 IU,0.42 mg,0.42 mg,6.2 mcg,76.00 mg,0.185 mg,0.34 mg,25.00 mg,0.172 mg,86.00 mg,163.00 mg,2.5 mcg,0.99 mg,2.50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.97 g,1.0 g,51.90 g,0,0,0,0,0,0,19.33 g,11.900 g,6.039 g,1.388 g,12.00 mg,0.0 g,1.10 g,8.00 mg,55.00 mg,6.10 g
"Sausage, cooked, pork, Italian",100 g,344,27g,10g,57mg,743.00 mg,78.2 mg,5.00 mcg,0.00 mcg,4.165 mg,0,0.233 mg,0.623 mg,16.00 IU,10.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.30 mcg,0.330 mg,0.1 mg,41.00 IU,0.25 mg,0.25 mg,3.4 mcg,21.00 mg,0.080 mg,1.43 mg,18.00 mg,0,170.00 mg,304.00 mg,22.0 mcg,2.39 mg,19.12 g,1.121 g,1.182 g,1.666 g,0.201 g,2.768 g,1.214 g,0.577 g,0,0.731 g,1.343 g,1.522 g,0.486 g,0.670 g,0.932 g,0.775 g,0.792 g,0.161 g,0.577 g,0.804 g,4.27 g,0.1 g,1.86 g,0,0,0,0,0,0,27.31 g,10.195 g,17.108 g,3.518 g,57.00 mg,0.0 g,2.18 g,0.00 mg,0.00 mg,47.13 g
"Babyfood, dry, rice and apples",100 g,396,2.4g,0.5g,0,16.00 mg,10.1 mg,19.00 mcg,0.00 mcg,20.000 mg,0,1.500 mg,1.300 mg,8.00 IU,0.00 mcg,0.00 mcg,4.00 mcg,3.00 mcg,8.00 mcg,0,0.00 mcg,0.090 mg,0.0 mg,0.00 IU,0.22 mg,0.22 mg,1.5 mcg,850.00 mg,0.373 mg,37.00 mg,15.00 mg,0,423.00 mg,410.00 mg,11.6 mcg,1.40 mg,6.70 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.89 g,3.0 g,3.22 g,0,0,0,0,0,0,2.40 g,0.503 g,0.615 g,0.920 g,0.00 mg,0.0 g,0.81 g,0.00 mg,0.00 mg,3.20 g
"OLIVE GARDEN, lasagna classico",100 g,184,11g,5.3g,40mg,450.00 mg,33.5 mg,35.00 mcg,0,1.930 mg,0.515 mg,0.273 mg,0.160 mg,414.00 IU,60.00 mcg,0.00 mcg,153.00 mcg,0.00 mcg,105.00 mcg,0,0.55 mcg,0,0.7 mg,0,0.86 mg,0.86 mg,6.8 mcg,211.00 mg,0.061 mg,0.75 mg,22.00 mg,0.113 mg,183.00 mg,258.00 mg,15.2 mcg,1.31 mg,11.28 g,0.429 g,0.456 g,0.804 g,0.116 g,2.019 g,0.366 g,0.277 g,0.090 g,0.429 g,0.902 g,0.840 g,0.250 g,0.500 g,1.081 g,0.509 g,0.393 g,0.125 g,0.348 g,0.483 g,10.33 g,1.6 g,3.53 g,1.11 g,0.18 g,1.02 g,1.22 g,0.00 g,0.00 g,10.84 g,5.347 g,3.203 g,0.789 g,40.00 mg,0,2.25 g,0,0,65.29 g
"Soup, condensed, canned, onion",100 g,46,1.4g,0.2g,0,516.00 mg,4.0 mg,12.00 mcg,0.00 mcg,0.490 mg,0.000 mg,0.020 mg,0.027 mg,11.00 IU,3.00 mcg,0.00 mcg,1.00 mcg,0.00 mcg,1.00 mcg,0,0.00 mcg,0.040 mg,1.0 mg,0.00 IU,0.22 mg,0.22 mg,0.4 mcg,22.00 mg,0.100 mg,0.55 mg,2.00 mg,0.200 mg,9.00 mg,56.00 mg,3.5 mcg,0.50 mg,3.06 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68 g,0.7 g,2.72 g,0,0,0,0,0,0,1.42 g,0.210 g,0.610 g,0.530 g,0.00 mg,0.0 g,2.49 g,0.00 mg,0.00 mg,86.35 g
"Kiwifruit, raw, ZESPRI SunGold",100 g,63,0.3g,0.1g,0,3.00 mg,1.9 mg,31.00 mcg,0.00 mcg,0.231 mg,0.120 mg,0.074 mg,0.000 mg,23.00 IU,1.00 mcg,0.00 mcg,14.00 mcg,0,24.00 mcg,0,0.08 mcg,0.079 mg,161.3 mg,0.00 IU,1.40 mg,1.40 mg,6.1 mcg,17.00 mg,0.151 mg,0.21 mg,12.00 mg,0.048 mg,25.00 mg,315.00 mg,0.4 mcg,0.08 mg,1.02 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.79 g,1.4 g,12.30 g,5.80 g,0.00 g,5.28 g,0.00 g,0.00 g,1.22 g,0.28 g,0.065 g,0.023 g,0.111 g,0.00 mg,0.0 g,0.47 g,0.00 mg,0.00 mg,82.44 g
"McDONALD'S, Sausage McGRIDDLES",100 g,312,18g,5.4g,24mg,737.00 mg,0,37.00 mcg,0,3.082 mg,0.384 mg,0.156 mg,0.209 mg,0.00 IU,0,0,0,0,0,0,0.27 mcg,0.108 mg,0.0 mg,0,0,0,0,63.00 mg,0.079 mg,1.42 mg,14.00 mg,0.198 mg,316.00 mg,145.00 mg,0,0.76 mg,8.41 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.25 g,1.0 g,11.23 g,0.14 g,0.00 g,3.91 g,0.54 g,0.48 g,6.16 g,17.76 g,5.435 g,7.532 g,2.591 g,24.00 mg,0,2.47 g,0,0,40.11 g
"Snacks, cheese-flavor, popcorn",100 g,526,33g,6.4g,11mg,889.00 mg,15.3 mg,11.00 mcg,0.00 mcg,1.453 mg,0.461 mg,0.241 mg,0.124 mg,140.00 IU,8.00 mcg,40.00 mcg,62.00 mcg,0.00 mcg,1002.00 mcg,0,0.53 mcg,0.235 mg,0.5 mg,0.00 IU,3.82 mg,3.82 mg,8.2 mcg,113.00 mg,0.140 mg,2.24 mg,91.00 mg,0.713 mg,361.00 mg,261.00 mg,12.0 mcg,2.01 mg,9.30 g,0.580 g,0.391 g,0.718 g,0.160 g,1.729 g,0.308 g,0.252 g,0,0.402 g,1.024 g,0.443 g,0.191 g,0.405 g,0.743 g,0.446 g,0.417 g,0.094 g,0.349 g,0.489 g,51.60 g,9.9 g,0.79 g,0,0,0,0,0,0,33.20 g,6.410 g,9.700 g,15.370 g,11.00 mg,0.0 g,3.40 g,0.00 mg,0.00 mg,2.50 g
"Babyfood, toddler, dices, peas",100 g,64,0.8g,0.1g,0,48.00 mg,14.7 mg,35.00 mcg,0.00 mcg,0.850 mg,0.345 mg,0.060 mg,0.100 mg,304.00 IU,15.00 mcg,8.00 mcg,178.00 mcg,0.00 mcg,1805.00 mcg,0,0.00 mcg,0.060 mg,6.0 mg,0.00 IU,0.45 mg,0.45 mg,18.0 mcg,21.00 mg,0.080 mg,1.00 mg,19.00 mg,0.150 mg,67.00 mg,81.00 mg,0.1 mcg,0.50 mg,3.90 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.30 g,3.9 g,4.13 g,0,0,0,0,0,0,0.80 g,0.140 g,0.070 g,0.370 g,0.00 mg,0.0 g,0.35 g,0.00 mg,0.00 mg,84.60 g
"Egg, raw, fresh, whole, turkey",100 g,171,12g,3.6g,933mg,151.00 mg,0,71.00 mcg,0.00 mcg,0.024 mg,1.889 mg,0.470 mg,0.110 mg,554.00 IU,166.00 mcg,0,0,0,0,0,1.69 mcg,0.131 mg,0.0 mg,0,0,0,0,99.00 mg,0.062 mg,4.10 mg,13.00 mg,0.038 mg,170.00 mg,142.00 mg,34.3 mcg,1.58 mg,13.68 g,0.799 g,0.876 g,1.357 g,0.326 g,1.742 g,0.455 g,0.330 g,0,0.855 g,1.201 g,0.924 g,0.442 g,0.773 g,0.543 g,1.040 g,0.672 g,0.219 g,0.569 g,0.985 g,1.15 g,0.0 g,0,0,0,0,0,0,0,11.88 g,3.632 g,4.571 g,1.658 g,933.00 mg,0,0.79 g,0,0,72.50 g
"Mollusks, raw, common, octopus",100 g,82,1g,0.2g,48mg,230.00 mg,65.0 mg,16.00 mcg,0.00 mcg,2.100 mg,0.500 mg,0.040 mg,0.030 mg,150.00 IU,45.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,20.00 mcg,0.360 mg,5.0 mg,0.00 IU,1.20 mg,1.20 mg,0.1 mcg,53.00 mg,0.435 mg,5.30 mg,30.00 mg,0.025 mg,186.00 mg,350.00 mg,44.8 mcg,1.68 mg,14.91 g,0.902 g,1.088 g,1.438 g,0.196 g,2.027 g,0.933 g,0.286 g,0,0.649 g,1.049 g,1.114 g,0.336 g,0.534 g,0.608 g,0.668 g,0.642 g,0.167 g,0.477 g,0.651 g,2.20 g,0.0 g,0.00 g,0,0,0,0,0,0,1.04 g,0.227 g,0.162 g,0.239 g,48.00 mg,0.0 g,1.60 g,0.00 mg,0.00 mg,80.25 g
Vegetarian meatloaf or patties,100 g,197,9g,1.4g,0,550.00 mg,73.1 mg,78.00 mcg,0.00 mcg,10.000 mg,0,0.600 mg,0.900 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,2.40 mcg,1.200 mg,0.0 mg,0.00 IU,1.73 mg,1.73 mg,0.0 mcg,29.00 mg,0.706 mg,2.10 mg,18.00 mg,0,344.00 mg,180.00 mg,0.8 mcg,1.80 mg,21.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00 g,4.6 g,1.20 g,0,0,0,0,0,0,9.00 g,1.425 g,2.188 g,4.666 g,0.00 mg,0.0 g,4.00 g,0.00 mg,0.00 mg,58.00 g
"Pheasant, total edible, cooked",100 g,239,12g,3.9g,89mg,43.00 mg,85.8 mg,5.00 mcg,0.00 mcg,7.530 mg,0,0.180 mg,0.070 mg,190.00 IU,57.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.72 mcg,0.750 mg,2.3 mg,7.00 IU,0.27 mg,0.27 mg,4.9 mcg,16.00 mg,0.084 mg,1.43 mg,22.00 mg,0,242.00 mg,271.00 mg,20.7 mcg,1.37 mg,32.40 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,12.10 g,3.908 g,5.627 g,1.185 g,89.00 mg,0.0 g,1.30 g,0.00 mg,0.00 mg,54.20 g
"Yogurt, nonfat, vanilla, Greek",100 g,78,0.2g,0.1g,3mg,34.00 mg,15.2 mg,11.00 mcg,0.00 mcg,0.201 mg,0.386 mg,0.240 mg,0.042 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.64 mcg,0.050 mg,0.0 mg,35.00 IU,0.02 mg,0.02 mg,0.1 mcg,99.00 mg,0.018 mg,0.04 mg,10.00 mg,0.008 mg,119.00 mg,123.00 mg,9.7 mcg,0.46 mg,8.64 g,0.211 g,0.148 g,0.391 g,0.045 g,0.965 g,0.119 g,0.122 g,0,0.269 g,0.497 g,0.442 g,0.145 g,0.269 g,0.584 g,0.305 g,0.202 g,0.028 g,0.249 g,0.408 g,10.37 g,0.5 g,9.54 g,1.92 g,0.60 g,0.32 g,2.63 g,0.00 g,4.07 g,0.18 g,0.133 g,0.039 g,0.009 g,3.00 mg,0.0 g,0.55 g,0.00 mg,0.00 mg,80.26 g
"KEEBLER, Iced Cookies, ANIMALS",100 g,459,16g,5g,0,337.00 mg,0,110.00 mcg,0,3.600 mg,0,0.270 mg,0.420 mg,0,0,0,0,0,0,0,0,0.020 mg,0,0,0,0,0,0,0,3.10 mg,12.00 mg,0,61.00 mg,66.00 mg,0,0.40 mg,5.60 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.20 g,1.6 g,26.70 g,0,0,0,0,0,0,15.60 g,5.000 g,3.500 g,5.800 g,0.00 mg,0,0,0,0,3.75 g
"Cheese, queso asadero, mexican",100 g,356,28g,18g,105mg,705.00 mg,15.4 mg,8.00 mcg,0.00 mcg,0.181 mg,0.231 mg,0.223 mg,0.021 mg,190.00 IU,55.00 mcg,0.00 mcg,4.00 mcg,0.00 mcg,0.00 mcg,0,1.00 mcg,0.053 mg,0.0 mg,21.00 IU,0.24 mg,0.24 mg,2.4 mcg,661.00 mg,0.026 mg,0.51 mg,26.00 mg,0.036 mg,443.00 mg,86.00 mg,14.5 mcg,3.02 mg,22.60 g,0.501 g,0.760 g,1.475 g,0.103 g,5.072 g,0.246 g,0.694 g,0,1.225 g,2.123 g,1.548 g,0.593 g,1.190 g,2.403 g,1.169 g,0.737 g,0.269 g,1.061 g,1.426 g,2.87 g,0.0 g,2.87 g,0,0,0,0,0,0,28.26 g,17.939 g,8.038 g,0.850 g,105.00 mg,0.0 g,4.11 g,0.00 mg,0.00 mg,42.16 g
"Oat flour, partially debranned",100 g,404,9.1g,1.6g,0,19.00 mg,29.9 mg,32.00 mcg,0.00 mcg,1.474 mg,0.201 mg,0.125 mg,0.692 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,180.00 mcg,0,0.00 mcg,0.125 mg,0.0 mg,0.00 IU,0.70 mg,0.70 mg,3.2 mcg,55.00 mg,0.437 mg,4.00 mg,144.00 mg,4.019 mg,452.00 mg,371.00 mg,34.0 mcg,3.20 mg,14.66 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.70 g,6.5 g,0.80 g,0.00 g,0,0.10 g,0,0,0.50 g,9.12 g,1.607 g,2.866 g,3.329 g,0.00 mg,0.0 g,1.97 g,0.00 mg,0.00 mg,8.55 g
"Potatoes, ready-to-eat, mashed",100 g,106,5g,2.6g,13mg,298.00 mg,14.3 mg,6.00 mcg,0.00 mcg,1.020 mg,0.405 mg,0.088 mg,0.085 mg,205.00 IU,53.00 mcg,0.00 mcg,19.00 mcg,0.00 mcg,0.00 mcg,0,0.22 mcg,0.109 mg,0.1 mg,2.00 IU,0.29 mg,0.29 mg,2.4 mcg,34.00 mg,0.011 mg,0.27 mg,14.00 mg,0.091 mg,61.00 mg,274.00 mg,26.9 mcg,0.30 mg,1.97 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29 g,1.9 g,1.76 g,0.31 g,0.00 g,0.27 g,1.17 g,0.00 g,0.00 g,5.01 g,2.632 g,1.236 g,0.684 g,13.00 mg,0.0 g,1.46 g,0.00 mg,0.00 mg,78.27 g
"Snacks, plain, CORNNUTS, KRAFT",100 g,446,16g,2.4g,0,564.00 mg,20.6 mg,0.00 mcg,0.00 mcg,1.694 mg,0.366 mg,0.130 mg,0.041 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.229 mg,0.0 mg,0.00 IU,1.98 mg,1.98 mg,9.3 mcg,9.00 mg,0.115 mg,1.67 mg,113.00 mg,0.455 mg,275.00 mg,278.00 mg,14.8 mcg,1.78 mg,8.50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.86 g,6.9 g,0.61 g,0,0,0,0,0,0,15.64 g,2.430 g,9.460 g,3.050 g,0.00 mg,0.0 g,2.70 g,0.00 mg,0.00 mg,1.30 g
"Noodles, cooked, enriched, egg",100 g,138,2.1g,0.4g,29mg,5.00 mg,25.7 mg,84.00 mcg,77.00 mcg,2.077 mg,0.263 mg,0.136 mg,0.289 mg,21.00 IU,6.00 mcg,0.00 mcg,1.00 mcg,0.00 mcg,38.00 mcg,0,0.09 mcg,0.046 mg,0.0 mg,4.00 IU,0.17 mg,0.17 mg,0.0 mcg,12.00 mg,0.098 mg,1.47 mg,21.00 mg,0.315 mg,76.00 mg,38.00 mg,23.9 mcg,0.65 mg,4.54 g,0.165 g,0.192 g,0.244 g,0.096 g,1.468 g,0.159 g,0.121 g,0,0.190 g,0.365 g,0.137 g,0.086 g,0.240 g,0.495 g,0.257 g,0.138 g,0.043 g,0.094 g,0.220 g,25.16 g,1.2 g,0.40 g,0.00 g,0.00 g,0.07 g,0.00 g,0.30 g,0.04 g,2.07 g,0.419 g,0.581 g,0.552 g,29.00 mg,0.0 g,0.50 g,0.00 mg,0.00 mg,67.73 g
"Crackers, GOYA CRACKERS, snack",100 g,433,13g,6.3g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.25 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.35 g,3.8 g,2.35 g,0.47 g,0.00 g,0.00 g,0.00 g,1.88 g,0.00 g,13.35 g,6.323 g,4.697 g,1.536 g,0,0,2.12 g,0,0,5.93 g
"Beans, raw, mature seeds, navy",100 g,337,1.5g,0.2g,0,5.00 mg,87.4 mg,364.00 mcg,0.00 mcg,2.188 mg,0.744 mg,0.164 mg,0.775 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.428 mg,0,0.00 IU,0.02 mg,0.02 mg,2.5 mcg,147.00 mg,0.834 mg,5.49 mg,175.00 mg,1.418 mg,407.00 mg,1185.00 mg,11.0 mcg,3.65 mg,22.33 g,0.908 g,1.020 g,2.598 g,0.187 g,3.098 g,0.801 g,0.507 g,0.000 g,0.952 g,1.723 g,1.280 g,0.273 g,1.158 g,1.117 g,1.180 g,0.711 g,0.247 g,0.484 g,1.241 g,60.75 g,15.3 g,3.88 g,0.00 g,0.34 g,0.21 g,0.00 g,0.00 g,3.33 g,1.50 g,0.170 g,0.128 g,0.873 g,0,0.0 g,3.32 g,0.00 mg,0.00 mg,12.10 g
"Topping, SMUCKER'S MAGIC SHELL",100 g,609,44g,21g,2mg,29.00 mg,9.4 mg,6.00 mcg,0.00 mcg,0.105 mg,0.077 mg,0.058 mg,0.016 mg,21.00 IU,6.00 mcg,0.00 mcg,1.00 mcg,0.00 mcg,1.00 mcg,0,0.08 mcg,0.013 mg,0.0 mg,0.00 IU,9.85 mg,9.85 mg,1.8 mcg,0.00 mg,0.133 mg,0.00 mg,15.00 mg,0.148 mg,54.00 mg,73.00 mg,1.0 mcg,0.45 mg,2.94 g,0.115 g,0.193 g,0.309 g,0.035 g,0.567 g,0.108 g,0.074 g,0.000 g,0.143 g,0.230 g,0.180 g,0.044 g,0.147 g,0.191 g,0.150 g,0.108 g,0.037 g,0.113 g,0.151 g,50.07 g,2.9 g,47.06 g,0,0,0,0,0,0,44.10 g,20.590 g,6.156 g,15.094 g,2.00 mg,0.0 g,2.64 g,4.00 mg,46.00 mg,0.25 g
