Recommended Diet,Calories (kcal),Protein (g),Carbs (g),Fat (g),Vitamins,Meal Type,BMI,BMI Category,Minerals,Health Benefits,suitable_age_group,Health Condition
"Veal, roasted, cooked, separable lean only, blade, shoulder",171,46,21,5,"A, D, C",Snacks,18.9,Normal weight,Iron,General nutrition,Children,"Angelman Syndrome, Galactosemia"
"Beef, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, boneless, top loin petite roast",239,1,69,10,"B, C, E, A",Others,23.8,Normal weight,Magnesium,General nutrition,All ages,"COPD, Hemochromatosis, Sickle Cell Anemia"
"Pork, raw, separable lean only, blade (steaks), (Boston butt), shoulder, fresh",132,6,50,21,"B, D, C",Snacks,18.5,Normal weight,"Calcium, Magnesium",General nutrition,All ages,Sepsis
"Fish, dry heat (may have been previously frozen), cooked, Alaska, pollock",111,1,68,17,"A, E",Snacks,20.2,Normal weight,"Calcium, Magnesium, Iron","Brain development, Joint health, Mood improvement",All ages,Seizure Disorders
"Chicken, roasted, meat and skin and giblets and neck, broilers or fryers",234,11,32,0,"D, B, C, E",Breakfast,17.3,Underweight,Iron,General nutrition,All ages,"Ulcerative Colitis, Autism Spectrum Disorder, Arthritis"
"Cookies, baked, refrigerated dough, oatmeal",471,33,27,5,"C, A, B, E",Lunch,22.9,Normal weight,Magnesium,General nutrition,Adults,Inflammatory Bowel Disease
"Waffles, ready-to-heat, frozen, gluten-free",263,43,99,1,"D, E, B, C",Breakfast,28.6,Overweight,Iron,General nutrition,All ages,"Skin Cancer, Menopause"
"MURRAY, Pecan Shortbread Cookies, SUGAR FREE",514,13,72,1,B,Others,20.0,Normal weight,Zinc,General nutrition,Adults,Canavan Disease
"Spaghetti, canned, with meatballs in tomato sauce",100,4,27,5,"E, A, B, C",Snacks,16.4,Underweight,"Iron, Magnesium",General nutrition,Adults,"Ulcerative Colitis, Neurofibromatosis, Gout"
"Pork, broiled, cooked, separable lean and fat, bone-in, center loin (chops), loin, fresh",209,42,21,28,"D, A, B, E",Others,26.0,Overweight,"Zinc, Calcium",General nutrition,Adults,"Malnutrition, Irritable Bowel Syndrome"
"Oil, salad or cooking, cottonseed",884,4,9,8,E,Others,23.6,Normal weight,"Calcium, Iron",General nutrition,Adults,"Psoriasis, Sjogren's Syndrome"
"Meat drippings (lard, beef tallow, mutton tallow)",889,29,50,28,"E, C, B",Dinner,37.6,Obesity,"Zinc, Magnesium, Iron","Muscle building, Iron absorption, Zinc boost",Old age,"Anorexia Nervosa, Encephalitis, Hypoglycemia"
"Cowpeas, with salt, drained, boiled, cooked, young pods with seeds",34,31,38,18,"C, A, E",Snacks,22.3,Normal weight,"Magnesium, Zinc, Iron",General nutrition,Adults,"Pancreatitis, Tuberculosis"
"Beef, raw, Aust. marble score 4/5, separable lean and fat, boneless, top loin steak/roast, loin, Wagyu, imported, Australian",289,48,59,10,"A, D, C",Breakfast,26.8,Overweight,"Zinc, Magnesium, Calcium",General nutrition,Children,Macular Degeneration
"Cereals ready-to-eat, chocolate, KELLOGG'S FROSTED MINI-WHEATS LITTLE BITES",354,40,74,1,"C, E, B, D",Breakfast,21.6,Normal weight,"Iron, Magnesium, Zinc","Sustained energy, Digestive health, Blood sugar control",Adults,"Scleroderma, Myeloma, Breast Cancer"
"Lamb, cooked, Intermuscular fat, imported, New Zealand",596,2,13,6,"C, B, E",Others,23.4,Normal weight,"Magnesium, Zinc, Calcium",General nutrition,Adults,Hemochromatosis
"Chicken, raw, meat and skin, back, broilers or fryers",319,45,29,3,A,Others,18.5,Normal weight,"Magnesium, Iron",General nutrition,Old age,"Multiple Sclerosis, Rett Syndrome, Thyroid Disorders"
"Veal, raw, separable lean and fat, boneless, whole, breast",208,22,39,22,"D, C",Others,24.5,Normal weight,"Magnesium, Zinc, Iron",General nutrition,Adults,Eating Disorders
"Biscuits, baked, lower fat, refrigerated dough, plain or buttermilk",319,30,75,20,"D, A, E, B",Breakfast,27.3,Overweight,"Calcium, Magnesium",General nutrition,All ages,Congenital Heart Disease
"Potatoes, unprepared, frozen, salt not added in processing, steak cut, french fried",138,11,2,26,B,Snacks,24.2,Normal weight,Magnesium,General nutrition,All ages,"Obesity, Leigh Syndrome, Cystinosis"
"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean only, porterhouse steak, short loin",212,32,31,29,"D, C, B",Others,27.8,Overweight,"Magnesium, Iron",General nutrition,Children,"Ulcers, Hypoglycemia"
"Pie, prepared from recipe, cherry",270,44,51,16,E,Breakfast,29.5,Overweight,"Zinc, Calcium",General nutrition,Old age,Multiple Sclerosis
"Wheat germ, crude",360,16,0,12,"B, D, A, E",Others,22.0,Normal weight,Iron,General nutrition,Old age,"Tuberculosis, Anxiety, GERD"
"BURGER KING, no cheese, DOUBLE WHOPPER",252,26,1,27,"C, D",Others,20.4,Normal weight,"Calcium, Iron, Zinc",General nutrition,Old age,"Pancreatitis, High Cholesterol, Ehlers-Danlos Syndrome"
"Cereals ready-to-eat, MOTHER'S COCOA BUMPERS, QUAKER",382,14,46,8,"E, D, C, B",Breakfast,23.8,Normal weight,Iron,"Sustained energy, Digestive health, Blood sugar control",Children,"Cushing's Syndrome, Cystinosis, Neurofibromatosis"
"Chicken, original seasoning, rotisserie, cooked, meat only, wing, broilers or fryers",197,41,12,10,"E, C",Snacks,21.7,Normal weight,"Zinc, Magnesium",General nutrition,Children,"Post-Traumatic Stress Disorder (PTSD), Tay-Sachs Disease"
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, small end (ribs 10-12), rib",148,46,0,18,"D, A, E, C",Snacks,24.6,Normal weight,"Iron, Zinc",General nutrition,Old age,"Thalassemia, Rett Syndrome"
"Vitasoy USA, Vitasoy Light Vanilla Soymilk",30,34,95,7,D,Snacks,24.6,Normal weight,"Zinc, Iron, Calcium",General nutrition,Old age,"Eczema, Parkinson's Disease, Meningitis"
"Oil, canola (partially hydrogenated) oil for deep fat frying, industrial",884,41,23,3,"A, C, D",Dinner,27.5,Overweight,"Magnesium, Iron",General nutrition,Old age,Sepsis
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, steak, tip center, knuckle, round",150,9,3,7,"E, D",Snacks,18.1,Underweight,"Zinc, Iron, Calcium",General nutrition,Children,"Leigh Syndrome, Ulcerative Colitis, Asthma"
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, chuck eye Country-Style ribs",146,46,98,13,"B, E, A, C",Snacks,25.7,Overweight,"Zinc, Calcium, Magnesium",General nutrition,Adults,Cataracts
"Shortening cake mix, soybean (hydrogenated) and cottonseed (hydrogenated)",884,13,54,12,"A, B",Others,29.9,Overweight,"Iron, Calcium, Magnesium",General nutrition,Adults,GERD
"Turkey, roasted, cooked, skin only, young hen",482,39,39,4,"A, C, E, B",Lunch,21.3,Normal weight,"Iron, Magnesium, Calcium",General nutrition,Children,"Thalassemia, COPD"
"Cereals ready-to-eat, LUCKY CHARMS, GENERAL MILLS",380,42,75,8,"C, D",Breakfast,27.4,Overweight,"Magnesium, Calcium","Sustained energy, Digestive health, Blood sugar control",Old age,"Ornithine Transcarbamylase Deficiency, Eating Disorders"
"Soup, prepared with equal volume water, canned, cream of shrimp",36,9,4,27,A,Snacks,24.2,Normal weight,"Zinc, Magnesium, Calcium",General nutrition,All ages,Gallstones
"Fast foods, with cheese and sausage, english muffin",338,11,65,18,D,Others,23.9,Normal weight,Zinc,General nutrition,Children,"Obesity, Hyperthyroidism"
"Oil, sheanut",884,43,20,5,E,Dinner,25.4,Overweight,"Iron, Magnesium",General nutrition,All ages,Celiac Disease
"Game meat, pan-broiled, cooked, ground, bison",238,20,27,14,"D, B",Breakfast,20.2,Normal weight,"Calcium, Iron",General nutrition,Old age,"Cataracts, Cystinosis"
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, ribeye cap steak",246,1,97,4,"B, C, A",Others,19.4,Normal weight,"Iron, Zinc",General nutrition,Adults,Asthma
"Snacks, original flavor, Multigrain Snack, SUNCHIPS, FRITOLAY",491,44,22,26,"D, E, C, B",Lunch,25.6,Overweight,"Magnesium, Calcium, Zinc",General nutrition,Adults,Anxiety
"Babyfood, junior, lamb, meat",112,29,59,28,"B, E",Snacks,28.0,Overweight,"Magnesium, Calcium",General nutrition,Adults,"Cancer, Gout"
"Puddings, regular, dry mix, banana",366,48,78,10,"C, E, D, A",Breakfast,26.8,Overweight,Magnesium,General nutrition,Old age,"Thyroid Disorders, Ovarian Cancer"
"Peppers, sauteed, green, sweet",127,1,86,23,D,Snacks,20.9,Normal weight,"Magnesium, Iron",General nutrition,Old age,"Canavan Disease, Tuberculosis"
"CAMPBELL'S CHUNKY Soups, HEALTHY REQUEST New England Clam Chowder",53,15,11,16,"A, B",Snacks,19.3,Normal weight,"Calcium, Iron",General nutrition,All ages,Hypertension
"McDONALD'S, BIG BREAKFAST",285,32,22,2,"A, E, D, C",Others,22.3,Normal weight,Magnesium,General nutrition,All ages,"Leukemia, Hemochromatosis"
"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean and fat, clod roast, chuck",216,17,26,22,A,Others,21.7,Normal weight,"Zinc, Iron, Calcium",General nutrition,All ages,"Binge Eating Disorder, Chronic Fatigue Syndrome, Skin Cancer"
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, chuck eye steak",153,28,61,7,"D, A, C",Snacks,22.2,Normal weight,"Zinc, Calcium",General nutrition,Adults,
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, shoulder pot roast or steak",123,15,36,7,"C, E, B, A",Snacks,21.7,Normal weight,"Iron, Zinc, Calcium",General nutrition,Adults,"Congenital Heart Disease, Chronic Pain"
"DENNY'S, coleslaw",183,32,62,29,E,Snacks,25.8,Overweight,Calcium,General nutrition,Old age,"Lymphoma, Post-Traumatic Stress Disorder (PTSD)"
"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, top loin steak, loin",208,46,31,28,"B, C",Others,26.6,Overweight,"Zinc, Magnesium, Calcium",General nutrition,Adults,"Pancreatitis, Zellweger Spectrum Disorder, Acromegaly"
"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, boneless, top loin petite roast/filet",170,26,20,29,"E, C, A",Snacks,23.5,Normal weight,"Iron, Calcium, Magnesium",General nutrition,Old age,Menopause
"Soy protein concentrate, produced by alcohol extraction",328,30,79,23,"C, D, E, A",Breakfast,25.5,Overweight,"Iron, Zinc",General nutrition,Children,"Wilson's Disease, Neurofibromatosis, Inflammatory Bowel Disease"
"MOTHER'S, Holiday Circus Animal Cookies",515,39,37,21,"A, E",Lunch,27.7,Overweight,Calcium,General nutrition,Adults,"Skin Cancer, Raynaud's Disease"
"CAMPBELL'S Red and White, condensed, Minestrone Soup",71,42,48,29,"D, C, A",Snacks,28.3,Overweight,Zinc,General nutrition,Children,"Congenital Heart Disease, Mucopolysaccharidosis"
"Game meat, raw, deer",120,35,17,29,"A, C, B, E",Snacks,25.6,Overweight,"Iron, Magnesium",General nutrition,Adults,"Cystinosis, Osteoporosis"
"Pork, pan-broil, heated, separable lean and fat, bone-in, slice, ham with natural juices, cured",180,4,6,20,C,Snacks,24.6,Normal weight,"Zinc, Calcium, Magnesium",General nutrition,All ages,"Osteoporosis, Mucopolysaccharidosis, Ovarian Cancer"
"Crackers, sandwich-type with cheese filling, cheese",490,45,62,8,"B, A",Lunch,29.2,Overweight,Iron,General nutrition,Adults,Cystic Fibrosis
"Fast foods, mashed, potato",89,19,70,3,E,Snacks,22.4,Normal weight,"Magnesium, Iron",General nutrition,All ages,"Depression, Cushing's Syndrome"
"Beef, braised, cooked, separable lean and fat, oyster blade, imported, New Zealand",197,30,25,6,"A, E, D",Snacks,22.0,Normal weight,Calcium,General nutrition,Children,Malnutrition
"VAN'S, Totally Original Pancakes, Gluten Free",215,29,29,2,"D, E, A, C",Others,21.0,Normal weight,"Calcium, Magnesium",General nutrition,Old age,"Rett Syndrome, Gaucher's Disease"
"Candies, chocolate-flavor roll, caramels",387,4,56,15,"C, B, A, D",Others,18.9,Normal weight,"Magnesium, Zinc",General nutrition,Old age,Anxiety
"Salad dressing, low calorie, mayonnaise and mayonnaise-type",263,39,43,24,"A, D, E, C",Breakfast,29.3,Overweight,"Iron, Magnesium, Zinc",General nutrition,All ages,"Ulcerative Colitis, Tay-Sachs Disease, Malnutrition"
"Beef, braised, cooked, select, trimmed to 1/8"" fat, separable lean and fat, steak, bottom round, round",240,10,35,15,A,Others,21.4,Normal weight,"Calcium, Zinc",General nutrition,Old age,"Eczema, GERD, Pancreatitis"
"Seeds, low fat (glandless), cottonseed flour",332,29,92,22,C,Breakfast,26.8,Overweight,Calcium,"Heart health, Weight management, Brain function",Children,"Anemia, Leigh Syndrome"
"Oil, avocado",884,10,72,13,"B, D",Others,27.3,Overweight,"Iron, Magnesium",General nutrition,All ages,Maple Syrup Urine Disease
"Mushrooms, drained solids, canned, straw",32,46,97,7,"E, C, D, B",Snacks,27.6,Overweight,"Magnesium, Zinc, Calcium",General nutrition,Adults,
"Lamb, soaked and simmered, cooked, sweetbread, imported, New Zealand",144,8,87,25,"E, D",Snacks,26.7,Overweight,"Zinc, Calcium, Magnesium",General nutrition,All ages,"Eczema, Lactose Intolerance, High Cholesterol"
"Beef, braised, cooked, separable lean and fat, brisket navel end, imported, New Zealand",453,36,2,9,"A, E",Lunch,18.6,Normal weight,"Zinc, Magnesium",General nutrition,Children,"Irritable Bowel Syndrome, Glycogen Storage Disease"
"Puff pastry, ready-to-bake, frozen",551,38,12,7,B,Lunch,24.7,Normal weight,"Iron, Calcium, Zinc",General nutrition,Adults,Dementia
"Pork, roasted, canned, regular (approximately 13% fat), ham, cured",226,22,40,25,"A, E",Others,23.4,Normal weight,Zinc,General nutrition,Old age,"Schizophrenia, HIV/AIDS, Chronic Pain"
"Cereals, without salt, cooked with water, enriched, regular and quick, yellow, corn grits",65,28,20,5,"E, C, D, A",Snacks,19.4,Normal weight,"Iron, Calcium","Sustained energy, Digestive health, Blood sugar control",Children,"Skin Cancer, Cystinosis, Psoriasis"
"Soup, prepared with equal volume water, canned, cream of mushroom",39,25,38,17,A,Snacks,23.8,Normal weight,Calcium,General nutrition,Adults,"GERD, Leukemia"
"Infant formula, powder, with iron, GOOD START 2 ESSENTIALS, NESTLE",471,12,67,25,"B, D",Others,29.9,Overweight,"Iron, Zinc, Calcium",General nutrition,Old age,"Menopause, Rett Syndrome, Diverticulitis"
"KASHI Pesto Pasta Primavera, unprepared, frozen",101,29,21,19,"A, C",Snacks,22.1,Normal weight,"Calcium, Magnesium, Iron",General nutrition,Adults,"Hypertension, Sleep Apnea"
"Veal, raw, separable lean and fat, whole (arm and blade), shoulder",130,37,14,4,"D, A, C",Snacks,19.3,Normal weight,"Calcium, Iron, Zinc",General nutrition,Adults,"Hemophilia, Marfan Syndrome, Hypertension"
"SUNSHINE, Hot & Spicy Crackers, CHEEZ-IT",513,3,56,14,"A, E, B",Others,20.8,Normal weight,"Magnesium, Iron, Calcium",General nutrition,Adults,"Hyperglycemia, Asthma"
"Lamb, broiled, cooked, choice, trimmed to 1/4"" fat, separable lean only, blade, shoulder, domestic",211,41,59,22,"A, D",Breakfast,25.5,Overweight,"Magnesium, Iron",General nutrition,All ages,"Osteoporosis, Multiple Sclerosis, Hypothyroidism"
"Lamb, raw, trimmed to 1/8"" fat, separable lean only, foreshank, fresh, imported, Australian",123,31,45,7,"E, D",Snacks,19.1,Normal weight,Calcium,General nutrition,All ages,"Glycogen Storage Disease, Polycystic Ovary Syndrome (PCOS), Gout"
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, outside skirt, boneless, plate steak",300,13,65,27,"B, A, E, C",Others,27.7,Overweight,"Iron, Zinc, Calcium",General nutrition,Children,"Kidney Disease, Raynaud's Disease"
"Luxury loaf, pork",141,13,49,20,"C, D, E",Snacks,18.7,Normal weight,"Magnesium, Zinc, Calcium",General nutrition,All ages,Heart Disease
"Beef, broiled, cooked, choice, trimmed to 0"" fat, separable lean only, mock tender steak, chuck",161,15,75,6,B,Snacks,23.2,Normal weight,"Zinc, Calcium, Magnesium",General nutrition,Old age,Hemochromatosis
"Cheese food, American, cold pack",331,18,75,6,"C, E, A, D",Breakfast,23.3,Normal weight,"Calcium, Zinc, Magnesium",General nutrition,All ages,Ulcerative Colitis
"Lamb, raw, choice, trimmed to 1/8"" fat, separable lean and fat, shank half, leg, domestic",185,44,74,5,"D, B, E, A",Snacks,28.1,Overweight,"Calcium, Iron",General nutrition,All ages,Polycystic Ovary Syndrome (PCOS)
"Margarine-like, with salt, tub, reduced calorie, vegetable oil-butter spread",450,37,65,25,"B, D",Lunch,29.5,Overweight,"Iron, Calcium",General nutrition,Children,"Hyperthyroidism, Endometriosis, Hypertension"
"Lamb, raw, tongue, variety meats and by-products",222,15,96,21,"E, C",Others,26.9,Overweight,"Iron, Magnesium",General nutrition,Adults,"Cystitis, Galactosemia"
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, eye of round roast, round",167,39,96,24,"E, B",Snacks,29.5,Overweight,"Zinc, Magnesium, Iron",General nutrition,All ages,"Cancer, Bipolar Disorder, Thalassemia"
"Egg, pasteurized, frozen, raw, yolk",296,40,57,15,"B, C",Breakfast,26.8,Overweight,"Calcium, Magnesium, Iron",General nutrition,Adults,"Cystic Fibrosis, Fabry Disease, Anxiety"
"Beef, raw, 75% lean meat / 25% fat, ground",293,14,58,26,"A, B, E, C",Others,27.4,Overweight,"Zinc, Iron",General nutrition,Adults,Breast Cancer
"Cereals ready-to-eat, Honey BUZZERS, MALT-O-MEAL",379,48,44,24,"B, E",Others,25.4,Overweight,"Magnesium, Zinc, Iron","Sustained energy, Digestive health, Blood sugar control",Old age,"Cancer, None"
"Nuts, dried, beechnuts",576,19,67,10,"C, A",Lunch,28.7,Overweight,"Calcium, Iron, Magnesium","Heart health, Weight management, Brain function",Old age,"Fabry Disease, Hypoglycemia"
"Pork, unheated, separable lean and fat, bone-in, rump, ham with natural juices, cured",200,21,94,14,"E, B",Breakfast,28.4,Overweight,"Magnesium, Iron, Calcium",General nutrition,All ages,"Mucopolysaccharidosis, Sepsis"
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, boneless, short ribs, chuck",227,38,14,13,"A, B",Others,19.9,Normal weight,"Calcium, Zinc, Iron",General nutrition,Adults,"Breast Cancer, Epilepsy, Chronic Pain"
"Fish, dry heat, cooked, mahimahi",109,15,85,13,"C, B, E",Snacks,18.7,Normal weight,"Iron, Zinc, Calcium","Brain development, Joint health, Mood improvement",All ages,"Fabry Disease, Macular Degeneration, Anorexia Nervosa"
"Nuts, sweetened, canned, coconut cream",357,4,8,11,A,Others,17.4,Underweight,Iron,"Heart health, Weight management, Brain function",All ages,"Cystinosis, Anorexia Nervosa"
"Pork, raw, separable lean and fat, boneless, Shoulder breast",127,40,37,20,D,Snacks,25.2,Overweight,Magnesium,General nutrition,Adults,Skin Cancer
"Seeds, without salt, roasted, pumpkin and squash seed kernels",574,20,43,23,"D, C",Lunch,25.7,Overweight,"Magnesium, Calcium, Iron","Heart health, Weight management, Brain function",All ages,"Multiple Sclerosis, Angelman Syndrome, Epilepsy"
"Cereals ready-to-eat, KELLOGG'S APPLE JACKS with marshmallows",378,18,98,27,B,Others,25.8,Overweight,Zinc,"Sustained energy, Digestive health, Blood sugar control",Old age,"Psoriasis, Leukemia"
"Pie, prepared from recipe, banana cream",269,22,73,24,"D, A, C",Others,26.9,Overweight,"Iron, Calcium, Zinc",General nutrition,Old age,"Food Allergies, Scleroderma"
"McDONALD'S, Premium Crispy Chicken Club Sandwich",250,20,64,6,"C, D, A",Breakfast,19.6,Normal weight,"Magnesium, Zinc, Calcium",General nutrition,All ages,Bipolar Disorder
"KASHI Italian Vegetable Medley Pasta, unprepared, frozen",106,2,96,14,"C, E, A, D",Snacks,24.4,Normal weight,"Magnesium, Zinc","Cancer prevention, Eye health, Bone strength",Old age,Chronic Pain
Kontomire Stew with Boiled Yam,360,8,65,10,C,Others,18.8,Normal weight,Zinc,High fiber,rich in iron and vitamins,General
"Fast Foods, with lettuce and mayonnaise, crispy chicken filet sandwich",276,8,18,6,"C, B, D",Breakfast,16.2,Underweight,"Magnesium, Calcium",General nutrition,Children,Phenylketonuria
"Turkey, roasted, cooked, with added solution, meat only, dark meat",158,39,68,26,E,Snacks,28.7,Overweight,"Calcium, Magnesium, Zinc",General nutrition,Children,Epilepsy
"Pork, roasted, cooked, separable lean and fat, bone-in, center loin (roasts), loin, fresh",231,4,81,5,"E, C, A",Others,20.8,Normal weight,Calcium,General nutrition,Children,"Eczema, Sepsis, Gout"
"Frankfurter, meatless",233,22,34,8,"A, E",Breakfast,24.0,Normal weight,"Iron, Calcium",General nutrition,All ages,Parkinson's Disease
"Creamy dressing, fat-free, reduced calorie, made with sour cream and/or buttermilk and oil",107,5,1,10,"C, E, A",Snacks,18.1,Underweight,"Zinc, Calcium",General nutrition,Adults,Endometriosis
"POPEYES, analyzed 2006, Spicy Chicken Strips",253,33,43,26,D,Breakfast,28.4,Overweight,Calcium,General nutrition,Children,Diabetes
"Beef, raw, Aust. marble score 4/5, seam fat, Wagyu, imported, Australian",594,34,88,8,"A, B",Lunch,26.6,Overweight,Iron,General nutrition,Adults,"Anorexia Nervosa, Sjogren's Syndrome"
"Fish, smoked (Alaska Native), canned, (sockeye), red, salmon",206,40,83,23,"D, B, A",Breakfast,28.9,Overweight,Calcium,"Brain development, Joint health, Mood improvement",Old age,"Sleep Apnea, Hemochromatosis, Tuberculosis"
"Frostings, ready-to-eat, creamy, vanilla",418,16,32,25,E,Lunch,20.8,Normal weight,Zinc,General nutrition,All ages,Dementia
"KASHI, Fire Roasted Vegetable Crackers, TLC",389,22,82,5,"E, A, C",Breakfast,20.5,Normal weight,"Iron, Zinc","Cancer prevention, Eye health, Bone strength",Old age,"Hypertension, Zellweger Spectrum Disorder"
"Cookies, reduced fat, vanilla sandwich with creme filling",423,49,68,17,E,Lunch,25.3,Overweight,"Iron, Magnesium",General nutrition,Children,"Leigh Syndrome, Depression, Eating Disorders"
"Light Ice Cream, blended with cookie pieces, soft serve",169,22,43,13,D,Snacks,21.4,Normal weight,Magnesium,General nutrition,All ages,"Cataracts, COPD, Gallstones"
"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, under blade steak, chuck",222,0,58,15,"D, B, E, C",Others,21.9,Normal weight,"Magnesium, Iron, Calcium",General nutrition,Children,"Crohn's Disease, Osteoporosis, Encephalitis"
Wakye with Spaghetti,380,14,60,12,D,Breakfast,22.9,Normal weight,Iron,High protein,rich in vitamins,General
"Infant Formula, powder, GENTLEASE, ENFAMIL, MEAD JOHNSON",514,47,23,10,E,Lunch,26.1,Overweight,"Zinc, Iron",General nutrition,Children,"Tay-Sachs Disease, Hepatitis"
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, lip off, boneless, rib eye steak",215,14,68,26,"D, A, B, C",Others,25.7,Overweight,"Magnesium, Iron, Calcium",General nutrition,Old age,Parkinson's Disease
"Beef, broiled, cooked, choice, trimmed to 0"" fat, separable lean only, top blade, chuck",217,35,10,26,"A, B",Others,21.9,Normal weight,Magnesium,General nutrition,All ages,Anorexia Nervosa
"Milk, with added nonfat milk solids and vitamin A and vitamin D, 2% milkfat, fluid, reduced fat",51,26,98,13,"C, D, A",Snacks,28.8,Overweight,"Zinc, Calcium, Iron",General nutrition,All ages,"Meningitis, Alkaptonuria, Food Allergies"
"Pomegranates, raw",83,27,58,27,"D, C",Snacks,29.0,Overweight,"Iron, Calcium, Magnesium",General nutrition,Adults,"Congenital Heart Disease, Pelvic Inflammatory Disease"
"Turkey, roasted, cooked, meat only, wing, retail parts",170,22,51,27,"D, C",Snacks,28.9,Overweight,Zinc,General nutrition,All ages,"Raynaud's Disease, Attention Deficit Hyperactivity Disorder (ADHD), Eczema"
"Crackers, multi-seeded and multigrain, gluten-free",453,10,63,0,"E, D, A, B",Others,21.7,Normal weight,"Zinc, Calcium, Iron",General nutrition,All ages,"Prostate Cancer, Thalassemia, Hemochromatosis"
