food_name,serving_size (g),calories (kcal),protein (g),carbohydrates (g),fats(g),vitamins,minerals,health_benefits,suitable_age_group,health_condition_considerations
"Veal, roasted, cooked, separable lean only, blade, shoulder",100.0,171.0,46.0,21.0,5.0,"A, D, C",Iron,General nutrition,Children,"Angelman Syndrome, Galactosemia"
"Beef, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, boneless, top loin petite roast",100.0,239.0,1.0,69.0,10.0,"B, C, E, A",Magnesium,General nutrition,All ages,"COPD, Hemochromatosis, Sickle Cell Anemia"
"Pork, raw, separable lean only, blade (steaks), (Boston butt), shoulder, fresh",100.0,132.0,6.0,50.0,21.0,"B, D, C","Calcium, Magnesium",General nutrition,All ages,Sepsis
"Fish, dry heat (may have been previously frozen), cooked, Alaska, pollock",100.0,111.0,1.0,68.0,17.0,"A, E","Calcium, Magnesium, Iron","Brain development, Joint health, Mood improvement",All ages,Seizure Disorders
"Chicken, roasted, meat and skin and giblets and neck, broilers or fryers",100.0,234.0,11.0,32.0,0.0,"D, B, C, E",Iron,General nutrition,All ages,"Ulcerative Colitis, Autism Spectrum Disorder, Arthritis"
"Cookies, baked, refrigerated dough, oatmeal",100.0,471.0,33.0,27.0,5.0,"C, A, B, E",Magnesium,General nutrition,Adults,Inflammatory Bowel Disease
"Waffles, ready-to-heat, frozen, gluten-free",100.0,263.0,43.0,99.0,1.0,"D, E, B, C",Iron,General nutrition,All ages,"Skin Cancer, Menopause"
"MURRAY, Pecan Shortbread Cookies, SUGAR FREE",100.0,514.0,13.0,72.0,1.0,B,Zinc,General nutrition,Adults,Canavan Disease
"Spaghetti, canned, with meatballs in tomato sauce",100.0,100.0,4.0,27.0,5.0,"E, A, B, C","Iron, Magnesium",General nutrition,Adults,"Ulcerative Colitis, Neurofibromatosis, Gout"
"Pork, broiled, cooked, separable lean and fat, bone-in, center loin (chops), loin, fresh",100.0,209.0,42.0,21.0,28.0,"D, A, B, E","Zinc, Calcium",General nutrition,Adults,"Malnutrition, Irritable Bowel Syndrome"
"Oil, salad or cooking, cottonseed",100.0,884.0,4.0,9.0,8.0,E,"Calcium, Iron",General nutrition,Adults,"Psoriasis, Sjogren's Syndrome"
"Meat drippings (lard, beef tallow, mutton tallow)",100.0,889.0,29.0,50.0,28.0,"E, C, B","Zinc, Magnesium, Iron","Muscle building, Iron absorption, Zinc boost",Old age,"Anorexia Nervosa, Encephalitis, Hypoglycemia"
"Cowpeas, with salt, drained, boiled, cooked, young pods with seeds",100.0,34.0,31.0,38.0,18.0,"C, A, E","Magnesium, Zinc, Iron",General nutrition,Adults,"Pancreatitis, Tuberculosis"
"Beef, raw, Aust. marble score 4/5, separable lean and fat, boneless, top loin steak/roast, loin, Wagyu, imported, Australian",100.0,289.0,48.0,59.0,10.0,"A, D, C","Zinc, Magnesium, Calcium",General nutrition,Children,Macular Degeneration
"Cereals ready-to-eat, chocolate, KELLOGG'S FROSTED MINI-WHEATS LITTLE BITES",100.0,354.0,40.0,74.0,1.0,"C, E, B, D","Iron, Magnesium, Zinc","Sustained energy, Digestive health, Blood sugar control",Adults,"Scleroderma, Myeloma, Breast Cancer"
"Lamb, cooked, Intermuscular fat, imported, New Zealand",100.0,596.0,2.0,13.0,6.0,"C, B, E","Magnesium, Zinc, Calcium",General nutrition,Adults,Hemochromatosis
"Chicken, raw, meat and skin, back, broilers or fryers",100.0,319.0,45.0,29.0,3.0,A,"Magnesium, Iron",General nutrition,Old age,"Multiple Sclerosis, Rett Syndrome, Thyroid Disorders"
"Veal, raw, separable lean and fat, boneless, whole, breast",100.0,208.0,22.0,39.0,22.0,"D, C","Magnesium, Zinc, Iron",General nutrition,Adults,Eating Disorders
"Biscuits, baked, lower fat, refrigerated dough, plain or buttermilk",100.0,319.0,30.0,75.0,20.0,"D, A, E, B","Calcium, Magnesium",General nutrition,All ages,Congenital Heart Disease
"Potatoes, unprepared, frozen, salt not added in processing, steak cut, french fried",100.0,138.0,11.0,2.0,26.0,B,Magnesium,General nutrition,All ages,"Obesity, Leigh Syndrome, Cystinosis"
"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean only, porterhouse steak, short loin",100.0,212.0,32.0,31.0,29.0,"D, C, B","Magnesium, Iron",General nutrition,Children,"Ulcers, Hypoglycemia"
"Pie, prepared from recipe, cherry",100.0,270.0,44.0,51.0,16.0,E,"Zinc, Calcium",General nutrition,Old age,Multiple Sclerosis
"Wheat germ, crude",100.0,360.0,16.0,0.0,12.0,"B, D, A, E",Iron,General nutrition,Old age,"Tuberculosis, Anxiety, GERD"
"BURGER KING, no cheese, DOUBLE WHOPPER",100.0,252.0,26.0,1.0,27.0,"C, D","Calcium, Iron, Zinc",General nutrition,Old age,"Pancreatitis, High Cholesterol, Ehlers-Danlos Syndrome"
"Cereals ready-to-eat, MOTHER'S COCOA BUMPERS, QUAKER",100.0,382.0,14.0,46.0,8.0,"E, D, C, B",Iron,"Sustained energy, Digestive health, Blood sugar control",Children,"Cushing's Syndrome, Cystinosis, Neurofibromatosis"
"Chicken, original seasoning, rotisserie, cooked, meat only, wing, broilers or fryers",100.0,197.0,41.0,12.0,10.0,"E, C","Zinc, Magnesium",General nutrition,Children,"Post-Traumatic Stress Disorder (PTSD), Tay-Sachs Disease"
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, small end (ribs 10-12), rib",100.0,148.0,46.0,0.0,18.0,"D, A, E, C","Iron, Zinc",General nutrition,Old age,"Thalassemia, Rett Syndrome"
"Vitasoy USA, Vitasoy Light Vanilla Soymilk",100.0,30.0,34.0,95.0,7.0,D,"Zinc, Iron, Calcium",General nutrition,Old age,"Eczema, Parkinson's Disease, Meningitis"
"Oil, canola (partially hydrogenated) oil for deep fat frying, industrial",100.0,884.0,41.0,23.0,3.0,"A, C, D","Magnesium, Iron",General nutrition,Old age,Sepsis
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, steak, tip center, knuckle, round",100.0,150.0,9.0,3.0,7.0,"E, D","Zinc, Iron, Calcium",General nutrition,Children,"Leigh Syndrome, Ulcerative Colitis, Asthma"
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, chuck eye Country-Style ribs",100.0,146.0,46.0,98.0,13.0,"B, E, A, C","Zinc, Calcium, Magnesium",General nutrition,Adults,Cataracts
"Shortening cake mix, soybean (hydrogenated) and cottonseed (hydrogenated)",100.0,884.0,13.0,54.0,12.0,"A, B","Iron, Calcium, Magnesium",General nutrition,Adults,GERD
"Turkey, roasted, cooked, skin only, young hen",100.0,482.0,39.0,39.0,4.0,"A, C, E, B","Iron, Magnesium, Calcium",General nutrition,Children,"Thalassemia, COPD"
"Cereals ready-to-eat, LUCKY CHARMS, GENERAL MILLS",100.0,380.0,42.0,75.0,8.0,"C, D","Magnesium, Calcium","Sustained energy, Digestive health, Blood sugar control",Old age,"Ornithine Transcarbamylase Deficiency, Eating Disorders"
"Soup, prepared with equal volume water, canned, cream of shrimp",100.0,36.0,9.0,4.0,27.0,A,"Zinc, Magnesium, Calcium",General nutrition,All ages,Gallstones
"Fast foods, with cheese and sausage, english muffin",100.0,338.0,11.0,65.0,18.0,D,Zinc,General nutrition,Children,"Obesity, Hyperthyroidism"
"Oil, sheanut",100.0,884.0,43.0,20.0,5.0,E,"Iron, Magnesium",General nutrition,All ages,Celiac Disease
"Game meat, pan-broiled, cooked, ground, bison",100.0,238.0,20.0,27.0,14.0,"D, B","Calcium, Iron",General nutrition,Old age,"Cataracts, Cystinosis"
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, ribeye cap steak",100.0,246.0,1.0,97.0,4.0,"B, C, A","Iron, Zinc",General nutrition,Adults,Asthma
"Snacks, original flavor, Multigrain Snack, SUNCHIPS, FRITOLAY",100.0,491.0,44.0,22.0,26.0,"D, E, C, B","Magnesium, Calcium, Zinc",General nutrition,Adults,Anxiety
"Babyfood, junior, lamb, meat",100.0,112.0,29.0,59.0,28.0,"B, E","Magnesium, Calcium",General nutrition,Adults,"Cancer, Gout"
"Puddings, regular, dry mix, banana",100.0,366.0,48.0,78.0,10.0,"C, E, D, A",Magnesium,General nutrition,Old age,"Thyroid Disorders, Ovarian Cancer"
"Peppers, sauteed, green, sweet",100.0,127.0,1.0,86.0,23.0,D,"Magnesium, Iron",General nutrition,Old age,"Canavan Disease, Tuberculosis"
"CAMPBELL'S CHUNKY Soups, HEALTHY REQUEST New England Clam Chowder",100.0,53.0,15.0,11.0,16.0,"A, B","Calcium, Iron",General nutrition,All ages,Hypertension
"McDONALD'S, BIG BREAKFAST",100.0,285.0,32.0,22.0,2.0,"A, E, D, C",Magnesium,General nutrition,All ages,"Leukemia, Hemochromatosis"
"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean and fat, clod roast, chuck",100.0,216.0,17.0,26.0,22.0,A,"Zinc, Iron, Calcium",General nutrition,All ages,"Binge Eating Disorder, Chronic Fatigue Syndrome, Skin Cancer"
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, chuck eye steak",100.0,153.0,28.0,61.0,7.0,"D, A, C","Zinc, Calcium",General nutrition,Adults,
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, shoulder pot roast or steak",100.0,123.0,15.0,36.0,7.0,"C, E, B, A","Iron, Zinc, Calcium",General nutrition,Adults,"Congenital Heart Disease, Chronic Pain"
"DENNY'S, coleslaw",100.0,183.0,32.0,62.0,29.0,E,Calcium,General nutrition,Old age,"Lymphoma, Post-Traumatic Stress Disorder (PTSD)"
"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, top loin steak, loin",100.0,208.0,46.0,31.0,28.0,"B, C","Zinc, Magnesium, Calcium",General nutrition,Adults,"Pancreatitis, Zellweger Spectrum Disorder, Acromegaly"
"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, boneless, top loin petite roast/filet",100.0,170.0,26.0,20.0,29.0,"E, C, A","Iron, Calcium, Magnesium",General nutrition,Old age,Menopause
"Soy protein concentrate, produced by alcohol extraction",100.0,328.0,30.0,79.0,23.0,"C, D, E, A","Iron, Zinc",General nutrition,Children,"Wilson's Disease, Neurofibromatosis, Inflammatory Bowel Disease"
"MOTHER'S, Holiday Circus Animal Cookies",100.0,515.0,39.0,37.0,21.0,"A, E",Calcium,General nutrition,Adults,"Skin Cancer, Raynaud's Disease"
"CAMPBELL'S Red and White, condensed, Minestrone Soup",100.0,71.0,42.0,48.0,29.0,"D, C, A",Zinc,General nutrition,Children,"Congenital Heart Disease, Mucopolysaccharidosis"
"Game meat, raw, deer",100.0,120.0,35.0,17.0,29.0,"A, C, B, E","Iron, Magnesium",General nutrition,Adults,"Cystinosis, Osteoporosis"
"Pork, pan-broil, heated, separable lean and fat, bone-in, slice, ham with natural juices, cured",100.0,180.0,4.0,6.0,20.0,C,"Zinc, Calcium, Magnesium",General nutrition,All ages,"Osteoporosis, Mucopolysaccharidosis, Ovarian Cancer"
"Crackers, sandwich-type with cheese filling, cheese",100.0,490.0,45.0,62.0,8.0,"B, A",Iron,General nutrition,Adults,Cystic Fibrosis
"Fast foods, mashed, potato",100.0,89.0,19.0,70.0,3.0,E,"Magnesium, Iron",General nutrition,All ages,"Depression, Cushing's Syndrome"
"Beef, braised, cooked, separable lean and fat, oyster blade, imported, New Zealand",100.0,197.0,30.0,25.0,6.0,"A, E, D",Calcium,General nutrition,Children,Malnutrition
"VAN'S, Totally Original Pancakes, Gluten Free",100.0,215.0,29.0,29.0,2.0,"D, E, A, C","Calcium, Magnesium",General nutrition,Old age,"Rett Syndrome, Gaucher's Disease"
"Candies, chocolate-flavor roll, caramels",100.0,387.0,4.0,56.0,15.0,"C, B, A, D","Magnesium, Zinc",General nutrition,Old age,Anxiety
"Salad dressing, low calorie, mayonnaise and mayonnaise-type",100.0,263.0,39.0,43.0,24.0,"A, D, E, C","Iron, Magnesium, Zinc",General nutrition,All ages,"Ulcerative Colitis, Tay-Sachs Disease, Malnutrition"
"Beef, braised, cooked, select, trimmed to 1/8"" fat, separable lean and fat, steak, bottom round, round",100.0,240.0,10.0,35.0,15.0,A,"Calcium, Zinc",General nutrition,Old age,"Eczema, GERD, Pancreatitis"
"Seeds, low fat (glandless), cottonseed flour",100.0,332.0,29.0,92.0,22.0,C,Calcium,"Heart health, Weight management, Brain function",Children,"Anemia, Leigh Syndrome"
"Oil, avocado",100.0,884.0,10.0,72.0,13.0,"B, D","Iron, Magnesium",General nutrition,All ages,Maple Syrup Urine Disease
"Mushrooms, drained solids, canned, straw",100.0,32.0,46.0,97.0,7.0,"E, C, D, B","Magnesium, Zinc, Calcium",General nutrition,Adults,
"Lamb, soaked and simmered, cooked, sweetbread, imported, New Zealand",100.0,144.0,8.0,87.0,25.0,"E, D","Zinc, Calcium, Magnesium",General nutrition,All ages,"Eczema, Lactose Intolerance, High Cholesterol"
"Beef, braised, cooked, separable lean and fat, brisket navel end, imported, New Zealand",100.0,453.0,36.0,2.0,9.0,"A, E","Zinc, Magnesium",General nutrition,Children,"Irritable Bowel Syndrome, Glycogen Storage Disease"
"Puff pastry, ready-to-bake, frozen",100.0,551.0,38.0,12.0,7.0,B,"Iron, Calcium, Zinc",General nutrition,Adults,Dementia
"Pork, roasted, canned, regular (approximately 13% fat), ham, cured",100.0,226.0,22.0,40.0,25.0,"A, E",Zinc,General nutrition,Old age,"Schizophrenia, HIV/AIDS, Chronic Pain"
"Cereals, without salt, cooked with water, enriched, regular and quick, yellow, corn grits",100.0,65.0,28.0,20.0,5.0,"E, C, D, A","Iron, Calcium","Sustained energy, Digestive health, Blood sugar control",Children,"Skin Cancer, Cystinosis, Psoriasis"
"Soup, prepared with equal volume water, canned, cream of mushroom",100.0,39.0,25.0,38.0,17.0,A,Calcium,General nutrition,Adults,"GERD, Leukemia"
"Infant formula, powder, with iron, GOOD START 2 ESSENTIALS, NESTLE",100.0,471.0,12.0,67.0,25.0,"B, D","Iron, Zinc, Calcium",General nutrition,Old age,"Menopause, Rett Syndrome, Diverticulitis"
"KASHI Pesto Pasta Primavera, unprepared, frozen",100.0,101.0,29.0,21.0,19.0,"A, C","Calcium, Magnesium, Iron",General nutrition,Adults,"Hypertension, Sleep Apnea"
"Veal, raw, separable lean and fat, whole (arm and blade), shoulder",100.0,130.0,37.0,14.0,4.0,"D, A, C","Calcium, Iron, Zinc",General nutrition,Adults,"Hemophilia, Marfan Syndrome, Hypertension"
"SUNSHINE, Hot & Spicy Crackers, CHEEZ-IT",100.0,513.0,3.0,56.0,14.0,"A, E, B","Magnesium, Iron, Calcium",General nutrition,Adults,"Hyperglycemia, Asthma"
"Lamb, broiled, cooked, choice, trimmed to 1/4"" fat, separable lean only, blade, shoulder, domestic",100.0,211.0,41.0,59.0,22.0,"A, D","Magnesium, Iron",General nutrition,All ages,"Osteoporosis, Multiple Sclerosis, Hypothyroidism"
"Lamb, raw, trimmed to 1/8"" fat, separable lean only, foreshank, fresh, imported, Australian",100.0,123.0,31.0,45.0,7.0,"E, D",Calcium,General nutrition,All ages,"Glycogen Storage Disease, Polycystic Ovary Syndrome (PCOS), Gout"
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, outside skirt, boneless, plate steak",100.0,300.0,13.0,65.0,27.0,"B, A, E, C","Iron, Zinc, Calcium",General nutrition,Children,"Kidney Disease, Raynaud's Disease"
"Luxury loaf, pork",100.0,141.0,13.0,49.0,20.0,"C, D, E","Magnesium, Zinc, Calcium",General nutrition,All ages,Heart Disease
"Beef, broiled, cooked, choice, trimmed to 0"" fat, separable lean only, mock tender steak, chuck",100.0,161.0,15.0,75.0,6.0,B,"Zinc, Calcium, Magnesium",General nutrition,Old age,Hemochromatosis
"Cheese food, American, cold pack",100.0,331.0,18.0,75.0,6.0,"C, E, A, D","Calcium, Zinc, Magnesium",General nutrition,All ages,Ulcerative Colitis
"Lamb, raw, choice, trimmed to 1/8"" fat, separable lean and fat, shank half, leg, domestic",100.0,185.0,44.0,74.0,5.0,"D, B, E, A","Calcium, Iron",General nutrition,All ages,Polycystic Ovary Syndrome (PCOS)
"Margarine-like, with salt, tub, reduced calorie, vegetable oil-butter spread",100.0,450.0,37.0,65.0,25.0,"B, D","Iron, Calcium",General nutrition,Children,"Hyperthyroidism, Endometriosis, Hypertension"
"Lamb, raw, tongue, variety meats and by-products",100.0,222.0,15.0,96.0,21.0,"E, C","Iron, Magnesium",General nutrition,Adults,"Cystitis, Galactosemia"
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, eye of round roast, round",100.0,167.0,39.0,96.0,24.0,"E, B","Zinc, Magnesium, Iron",General nutrition,All ages,"Cancer, Bipolar Disorder, Thalassemia"
"Egg, pasteurized, frozen, raw, yolk",100.0,296.0,40.0,57.0,15.0,"B, C","Calcium, Magnesium, Iron",General nutrition,Adults,"Cystic Fibrosis, Fabry Disease, Anxiety"
"Beef, raw, 75% lean meat / 25% fat, ground",100.0,293.0,14.0,58.0,26.0,"A, B, E, C","Zinc, Iron",General nutrition,Adults,Breast Cancer
"Cereals ready-to-eat, Honey BUZZERS, MALT-O-MEAL",100.0,379.0,48.0,44.0,24.0,"B, E","Magnesium, Zinc, Iron","Sustained energy, Digestive health, Blood sugar control",Old age,"Cancer, None"
"Nuts, dried, beechnuts",100.0,576.0,19.0,67.0,10.0,"C, A","Calcium, Iron, Magnesium","Heart health, Weight management, Brain function",Old age,"Fabry Disease, Hypoglycemia"
"Pork, unheated, separable lean and fat, bone-in, rump, ham with natural juices, cured",100.0,200.0,21.0,94.0,14.0,"E, B","Magnesium, Iron, Calcium",General nutrition,All ages,"Mucopolysaccharidosis, Sepsis"
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, boneless, short ribs, chuck",100.0,227.0,38.0,14.0,13.0,"A, B","Calcium, Zinc, Iron",General nutrition,Adults,"Breast Cancer, Epilepsy, Chronic Pain"
"Fish, dry heat, cooked, mahimahi",100.0,109.0,15.0,85.0,13.0,"C, B, E","Iron, Zinc, Calcium","Brain development, Joint health, Mood improvement",All ages,"Fabry Disease, Macular Degeneration, Anorexia Nervosa"
"Nuts, sweetened, canned, coconut cream",100.0,357.0,4.0,8.0,11.0,A,Iron,"Heart health, Weight management, Brain function",All ages,"Cystinosis, Anorexia Nervosa"
"Pork, raw, separable lean and fat, boneless, Shoulder breast",100.0,127.0,40.0,37.0,20.0,D,Magnesium,General nutrition,Adults,Skin Cancer
"Seeds, without salt, roasted, pumpkin and squash seed kernels",100.0,574.0,20.0,43.0,23.0,"D, C","Magnesium, Calcium, Iron","Heart health, Weight management, Brain function",All ages,"Multiple Sclerosis, Angelman Syndrome, Epilepsy"
"Cereals ready-to-eat, KELLOGG'S APPLE JACKS with marshmallows",100.0,378.0,18.0,98.0,27.0,B,Zinc,"Sustained energy, Digestive health, Blood sugar control",Old age,"Psoriasis, Leukemia"
"Pie, prepared from recipe, banana cream",100.0,269.0,22.0,73.0,24.0,"D, A, C","Iron, Calcium, Zinc",General nutrition,Old age,"Food Allergies, Scleroderma"
"McDONALD'S, Premium Crispy Chicken Club Sandwich",100.0,250.0,20.0,64.0,6.0,"C, D, A","Magnesium, Zinc, Calcium",General nutrition,All ages,Bipolar Disorder
"KASHI Italian Vegetable Medley Pasta, unprepared, frozen",100.0,106.0,2.0,96.0,14.0,"C, E, A, D","Magnesium, Zinc","Cancer prevention, Eye health, Bone strength",Old age,Chronic Pain
Kontomire Stew with Boiled Yam,100.0,360.0,8.0,65.0,10.0,C,Zinc,High fiber,rich in iron and vitamins,General
"Fast Foods, with lettuce and mayonnaise, crispy chicken filet sandwich",100.0,276.0,8.0,18.0,6.0,"C, B, D","Magnesium, Calcium",General nutrition,Children,Phenylketonuria
"Turkey, roasted, cooked, with added solution, meat only, dark meat",100.0,158.0,39.0,68.0,26.0,E,"Calcium, Magnesium, Zinc",General nutrition,Children,Epilepsy
"Pork, roasted, cooked, separable lean and fat, bone-in, center loin (roasts), loin, fresh",100.0,231.0,4.0,81.0,5.0,"E, C, A",Calcium,General nutrition,Children,"Eczema, Sepsis, Gout"
"Frankfurter, meatless",100.0,233.0,22.0,34.0,8.0,"A, E","Iron, Calcium",General nutrition,All ages,Parkinson's Disease
"Creamy dressing, fat-free, reduced calorie, made with sour cream and/or buttermilk and oil",100.0,107.0,5.0,1.0,10.0,"C, E, A","Zinc, Calcium",General nutrition,Adults,Endometriosis
"POPEYES, analyzed 2006, Spicy Chicken Strips",100.0,253.0,33.0,43.0,26.0,D,Calcium,General nutrition,Children,Diabetes
"Beef, raw, Aust. marble score 4/5, seam fat, Wagyu, imported, Australian",100.0,594.0,34.0,88.0,8.0,"A, B",Iron,General nutrition,Adults,"Anorexia Nervosa, Sjogren's Syndrome"
"Fish, smoked (Alaska Native), canned, (sockeye), red, salmon",100.0,206.0,40.0,83.0,23.0,"D, B, A",Calcium,"Brain development, Joint health, Mood improvement",Old age,"Sleep Apnea, Hemochromatosis, Tuberculosis"
"Frostings, ready-to-eat, creamy, vanilla",100.0,418.0,16.0,32.0,25.0,E,Zinc,General nutrition,All ages,Dementia
"KASHI, Fire Roasted Vegetable Crackers, TLC",100.0,389.0,22.0,82.0,5.0,"E, A, C","Iron, Zinc","Cancer prevention, Eye health, Bone strength",Old age,"Hypertension, Zellweger Spectrum Disorder"
"Cookies, reduced fat, vanilla sandwich with creme filling",100.0,423.0,49.0,68.0,17.0,E,"Iron, Magnesium",General nutrition,Children,"Leigh Syndrome, Depression, Eating Disorders"
"Light Ice Cream, blended with cookie pieces, soft serve",100.0,169.0,22.0,43.0,13.0,D,Magnesium,General nutrition,All ages,"Cataracts, COPD, Gallstones"
"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, under blade steak, chuck",100.0,222.0,0.0,58.0,15.0,"D, B, E, C","Magnesium, Iron, Calcium",General nutrition,Children,"Crohn's Disease, Osteoporosis, Encephalitis"
Wakye with Spaghetti,100.0,380.0,14.0,60.0,12.0,D,Iron,High protein,rich in vitamins,General
"Infant Formula, powder, GENTLEASE, ENFAMIL, MEAD JOHNSON",100.0,514.0,47.0,23.0,10.0,E,"Zinc, Iron",General nutrition,Children,"Tay-Sachs Disease, Hepatitis"
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, lip off, boneless, rib eye steak",100.0,215.0,14.0,68.0,26.0,"D, A, B, C","Magnesium, Iron, Calcium",General nutrition,Old age,Parkinson's Disease
"Beef, broiled, cooked, choice, trimmed to 0"" fat, separable lean only, top blade, chuck",100.0,217.0,35.0,10.0,26.0,"A, B",Magnesium,General nutrition,All ages,Anorexia Nervosa
"Milk, with added nonfat milk solids and vitamin A and vitamin D, 2% milkfat, fluid, reduced fat",100.0,51.0,26.0,98.0,13.0,"C, D, A","Zinc, Calcium, Iron",General nutrition,All ages,"Meningitis, Alkaptonuria, Food Allergies"
"Pomegranates, raw",100.0,83.0,27.0,58.0,27.0,"D, C","Iron, Calcium, Magnesium",General nutrition,Adults,"Congenital Heart Disease, Pelvic Inflammatory Disease"
"Turkey, roasted, cooked, meat only, wing, retail parts",100.0,170.0,22.0,51.0,27.0,"D, C",Zinc,General nutrition,All ages,"Raynaud's Disease, Attention Deficit Hyperactivity Disorder (ADHD), Eczema"
"Crackers, multi-seeded and multigrain, gluten-free",100.0,453.0,10.0,63.0,0.0,"E, D, A, B","Zinc, Calcium, Iron",General nutrition,All ages,"Prostate Cancer, Thalassemia, Hemochromatosis"
"PIZZA HUT 14"" Pepperoni Pizza, Pan Crust",100.0,291.0,20.0,30.0,5.0,"C, A, D","Magnesium, Iron",General nutrition,All ages,Eating Disorders
"SMART SOUP, Vietnamese Carrot Lemongrass",100.0,44.0,16.0,82.0,1.0,"E, A, D",Magnesium,General nutrition,Children,Celiac Disease
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, clod roast, chuck",100.0,172.0,22.0,45.0,0.0,"A, B, C, D","Iron, Magnesium",General nutrition,Adults,"Depression, Hemophilia"
"Pate, canned, not specified, liver",100.0,319.0,29.0,48.0,19.0,"E, A","Magnesium, Calcium, Iron",General nutrition,Adults,"Phenylketonuria, Malnutrition, Systemic Lupus Erythematosus"
Fante Fante with Eba,100.0,390.0,10.0,60.0,15.0,C,Calcium,High in carbs,moderate protein,General
